time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Plot,Plot,Oscillator,ATR
2020-12-04T18:00:00Z,140.27499999999998,140.432,140.23999999999998,140.29899999999998,140.22899999999998,140.0745,139.337,NaN,NaN,NaN,NaN,NaN,8086,19723.1,57.518902937144006,0.47718821428596736,0,60.70501224480472,0.29378027782325894
2020-12-04T19:00:00Z,140.29899999999998,140.36599999999999,139.82899999999998,139.938,140.26799999999997,140.0745,139.214,NaN,NaN,NaN,NaN,NaN,17444,20385.45,47.69418066698853,0.4081885714288213,0,55.39020615810312,0.311153115121598
2020-12-04T20:00:00Z,139.938,139.97299999999998,139.78099999999998,139.97199999999998,140.24399999999997,140.0745,139.16799999999998,NaN,NaN,NaN,NaN,NaN,12699,20015.7,48.58493204102739,0.3455121428573883,0,51.48792781255095,0.3026421783271987
2020-12-04T21:00:00Z,139.97199999999998,140.06099999999998,139.838,139.90499999999997,140.24399999999997,140.0745,139.117,NaN,NaN,NaN,NaN,NaN,3973,19297.4,46.8903201160013,0.26649071428595744,0,46.841024291362125,0.2969534513038263
2020-12-06T22:00:00Z,139.493,139.80599999999998,139.493,139.77599999999998,140.1,140.0745,138.89899999999997,NaN,NaN,NaN,NaN,NaN,2891,18903.6,43.727850381062744,0.17018500000023623,0,52.29155534225918,0.30517106192497995
2020-12-06T23:00:00Z,139.77599999999998,139.87699999999998,139.755,139.79199999999997,140.08999999999997,140.0745,138.915,NaN,NaN,NaN,NaN,NaN,3903,18668.15,44.2302586359131,0.07148892857166231,0,48.14353745383766,0.2920874146446232
2020-12-07T00:00:00Z,139.79199999999997,139.82199999999997,139.625,139.756,139.978,140.0745,138.974,NaN,NaN,NaN,NaN,NaN,16131,19057.8,43.29365737503813,-0.028449285714048006,0,50.86754409237242,0.2852954564557197
2020-12-07T01:00:00Z,139.756,139.82199999999997,139.684,139.724,139.978,140.0745,138.887,NaN,NaN,NaN,NaN,NaN,11606,19022.2,42.43350318850362,-0.11945785714262142,0,50.84272965604601,0.2747743524231666
2020-12-07T02:00:00Z,139.724,139.754,139.653,139.684,139.96249999999998,140.0745,138.988,NaN,NaN,NaN,NaN,NaN,11249,19006.9,41.328170760898765,-0.20928785714262244,0,56.17963836305146,0.2623618986786546
2020-12-07T03:00:00Z,139.684,139.77499999999998,139.54999999999998,139.57399999999998,139.9295,140.0745,138.87699999999998,NaN,NaN,NaN,NaN,NaN,8575,18703.05,38.36829234555981,-0.3337367857140508,0,45.79726158493673,0.2596931916301789
