time,open,high,low,close,openÇ∆highÇÃç∑,openÇ∆lowÇÃç∑,highÇ∆lowÇÃç∑,Volume,Volume MA,RSI,Plot,Plot,Oscillator,ATR,CCI,Fisher,Trigger,Plot,MACD,Signal Line,Histogram,Cross
2021-03-17T04:05:00Z,109.097,109.105,109.083,109.086,0.008,-0.014,0.022,115,88.2,44.91657548,-0.01436,0,46.94174576,0.01818405,-37.21552879,0.940199478,0.834503754,0.513663733,-0.005267641,-0.007855862,0.002588221,NaN
2021-03-17T04:10:00Z,109.086,109.096,109.084,109.088,0.01,-0.002,0.012,95,87.05,45.87414571,-0.009776071,0,45.39520386,0.017742332,-19.64285715,0.773127621,0.940199478,0.513663733,-0.005206879,-0.007321057,0.002114177,NaN
2021-03-17T04:15:00Z,109.088,109.107,109.084,109.107,0.019,-0.004,0.023,91,87.8,54.04696971,-0.001969643,0,52.1212849,0.01811788,102.5157233,0.71908497,0.773127621,0.513663733,-0.003584267,-0.006597029,0.003012763,NaN
2021-03-17T04:20:00Z,109.107,109.11,109.104,109.108,0.003,-0.003,0.006,80,88.3,54.43692204,0.005888214,0,48.17782657,0.017252317,121.2121212,0.970677399,0.71908497,0.513663733,-0.002192371,-0.005688685,0.003496314,NaN
2021-03-17T04:25:00Z,109.108,109.119,109.092,109.098,0.011,-0.016,0.027,90,86.15,49.87868368,0.009969643,0,45.11541314,0.01794858,55.10204081,1.238220068,0.970677399,0.513663733,-0.00187459,-0.004805828,0.002931237,NaN
2021-03-17T04:30:00Z,109.098,109.11,109.093,109.108,0.012,-0.005,0.017,98,83.2,54.02453991,0.015405357,0,52.06959826,0.017880825,113.9158576,1.227751377,1.238220068,0.513663733,-0.000806533,-0.004023909,0.003217376,NaN
2021-03-17T04:35:00Z,109.108,109.111,109.088,109.091,0.003,-0.02,0.023,106,82.15,46.91932626,0.017101071,0,45.80866178,0.01824648,6.365159122,1.040799663,1.227751377,0.513663733,-0.001316671,-0.003462937,0.002146266,NaN
2021-03-17T04:40:00Z,109.091,109.1,109.078,109.09,0.009,-0.013,0.022,71,80.85,46.53164906,0.017774643,0,49.9450127,0.018514589,0.338409469,0.460167876,1.040799663,0.513663733,-0.001781118,-0.003010557,0.001229438,NaN
2021-03-17T04:45:00Z,109.09,109.117,109.08,109.117,0.027,-0.01,0.037,141,83.3,56.8891222,0.02191,0,60.41621735,0.019834975,155.1671266,0.208107054,0.460167876,0.513663733,2.9142E-05,-0.002444548,0.00247369,NaN
2021-03-17T04:50:00Z,109.117,109.134,109.117,109.122,0.017,0,0.017,122,84.65,58.49263743,0.025532857,0,54.0527889,0.019632477,156.9928137,0.430448576,0.208107054,0.513663733,0.001845965,-0.001654147,0.003500112,NaN
2021-03-17T04:55:00Z,109.122,109.129,109.116,109.116,0.007,-0.006,0.013,63,86.35,55.80998707,0.025580357,0,49.19146027,0.019158728,112.4293785,0.747330692,0.430448576,0.513663733,0.002769733,-0.000767857,0.00353759,NaN
2021-03-17T05:00:00Z,109.116,109.126,109.108,109.12,0.01,-0.008,0.018,63,85.9,57.21866159,0.026294643,0,53.74681122,0.019075962,121.6216216,0.926423311,0.747330692,0.513663733,0.003781008,5.05072E-05,0.003730501,NaN
