time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Plot,Plot,Oscillator,ATR,CCI
2020-12-18T13:00:00Z,139.634,139.72899999999998,139.427,139.54999999999998,NaN,NaN,NaN,17634,10608.7,39.61060528262941,-0.2612942857143192,0,40.200399552334254,0.2596307470086932,-225.93087079072268
2020-12-18T14:00:00Z,139.54999999999998,139.634,139.37599999999998,139.42499999999998,NaN,NaN,NaN,16228,10911.35,36.83630763487728,-0.2818389285714626,0,39.9402972490788,0.25951426507950154,-252.63682418414177
2020-12-18T15:00:00Z,139.42499999999998,139.66799999999998,139.34799999999998,139.44199999999998,NaN,NaN,NaN,21449,11286.05,37.477665393613215,-0.3244585714286078,0,36.26974202012419,0.2638346747166795,-183.43031310620214
2020-12-18T16:00:00Z,139.44199999999998,139.619,139.33399999999997,139.469,NaN,NaN,NaN,13715,11340.25,38.54497343166442,-0.36325071428574474,0,41.25936144944081,0.26534648366548985,-138.119464857779
2020-12-18T17:00:00Z,139.469,139.601,139.42299999999997,139.56599999999997,NaN,NaN,NaN,8743,11410.35,42.35237485619431,-0.3668207142857455,0,41.534064507242114,0.2591074491179567,-87.56208353222225
2020-12-18T18:00:00Z,139.56599999999997,139.607,139.50699999999998,139.595,NaN,NaN,NaN,6017,11322.6,43.4797953627136,-0.35300642857145914,0,39.76779039805658,0.24774263132381855,-67.86896671897716
2020-12-18T19:00:00Z,139.595,139.607,139.45899999999997,139.528,NaN,NaN,NaN,5622,11387.25,41.46226969135914,-0.3580907142857492,0,43.277437018632156,0.24061815765783326,-80.84275713519207
2020-12-18T20:00:00Z,139.528,139.54999999999998,139.31099999999998,139.409,NaN,NaN,NaN,6365,11323.7,38.082308691236335,-0.3759692857143193,0,42.746968842084016,0.24050257496798833,-107.40198470801168
2020-12-18T21:00:00Z,139.409,139.76899999999998,139.31799999999998,139.66699999999997,NaN,NaN,NaN,3534,10985.55,47.98292006594321,-0.3341589285714625,0,52.101926880332215,0.2555381053274172,-18.48856422300142
2020-12-20T22:00:00Z,138.65099999999998,139,138.595,138.851,NaN,NaN,NaN,3634,10873.2,31.064324487688125,-0.4209017857143169,0,43.62392088368997,0.31385681208974275,-245.49711815563077
2020-12-20T23:00:00Z,138.851,138.944,138.47699999999998,138.671,NaN,NaN,NaN,10354,11016.8,28.663431279018482,-0.5151353571428917,0,44.37221613184814,0.3247956112261906,-244.61901021211546
2020-12-21T00:00:00Z,138.671,138.761,138.48999999999998,138.58399999999997,NaN,NaN,NaN,19276,11605.65,27.554916569529894,-0.6102764285714678,0,41.857074992038925,0.32095306756717806,-217.36258229120526
2020-12-21T01:00:00Z,138.58399999999997,138.60299999999998,138.02999999999997,138.164,138.51943749999998,138.60299999999998,138.24487499999998,21985,12350.15,22.94214433458606,-0.7457921428571855,0,37.64470591002241,0.3389564198838087,-237.48322565475334
2020-12-21T02:00:00Z,138.164,138.18699999999998,137.908,137.92399999999998,138.0383125,138.34237499999998,137.908,16485,12806.8,20.799444744352087,-0.8886271428571818,0,35.659327455786276,0.3346738184635364,-208.7329049267077
2020-12-21T03:00:00Z,137.92399999999998,138.10899999999998,137.868,138.039,138.0670625,138.2355,137.868,10418,12803.7,24.440982867203402,-0.9864428571428923,0,37.49122128517227,0.32798283143042556,-153.0188679245481
2020-12-21T04:00:00Z,138.039,138.24099999999999,137.97,138.14899999999997,138.0670625,138.204875,137.89862499999998,7756,12330.4,27.857828610724212,-1.0148578571429008,0,36.410008991438396,0.32391262918539415,-117.48967603096035
