time,open,high,low,close,Volume,Volume MA,SIGNAL,MACD
2021-03-21T06:35:00Z,23.178,23.254,23.127,23.195,290.528,668.6680000000051,-0.09978789799437816,-0.10689841448232684
2021-03-21T06:36:00Z,23.239,23.281,23.152,23.173,63.587,629.2419000000051,-0.0957749944327892,-0.10435850384955003
2021-03-21T06:37:00Z,23.16,23.311,23.148,23.311,1574.074,681.3395000000052,-0.09136322772531552,-0.0854557284780455
2021-03-21T06:38:00Z,23.316,23.429,23.316,23.429,675.397,695.4071500000052,-0.08641279839254908,-0.05790922960275324
2021-03-21T06:39:00Z,23.403,23.409,23.242,23.409,825.713,706.7000000000052,-0.08232491425195641,-0.03958230607127078
2021-03-21T06:40:00Z,23.364,23.364,23.16,23.219,240.102,689.3154000000052,-0.08028581596944306,-0.045839455122965944
2021-03-21T06:41:00Z,23.212,23.219,23.157,23.2,277.98,673.4656000000052,-0.07946838613048968,-0.05092208799836584
2021-03-21T06:42:00Z,23.154,23.154,22.887,22.997,1005.716,655.3732500000052,-0.07911143993100499,-0.07430763113512029
2021-03-21T06:43:00Z,23.032,23.084,22.918,22.943,374.815,621.7882000000052,-0.07900378917796337,-0.09406090894439245
2021-03-21T06:44:00Z,22.938,23.064,22.857,23.035,216.604,618.7484500000053,-0.07861370994825863,-0.09553705622672126
2021-03-21T06:45:00Z,22.989,22.99,22.923,22.99,129.069,576.7241000000051,-0.07760269108430604,-0.09875828001585418
2021-03-21T06:46:00Z,22.99,23.161,22.985,23.069,175.798,557.1646500000053,-0.07607788704653147,-0.09012557006680666
2021-03-21T06:47:00Z,23.067,23.089,22.876,22.876,328.679,546.3510500000053,-0.07586601794749596,-0.10202794376015945
2021-03-21T06:48:00Z,22.866,22.897,22.714,22.714,403.542,486.1050000000053,-0.07941277160223431,-0.12447001868016727
2021-03-21T06:49:00Z,22.794,22.803,22.538,22.538,815.313,513.6254500000052,-0.08824125557176772,-0.15502255326762082
2021-03-21T06:50:00Z,22.551,22.62,22.516,22.576,283.233,506.8339500000053,-0.09991225006948215,-0.1679632455461295
2021-03-21T06:51:00Z,22.53,22.812,22.53,22.677,401.659,486.68150000000526,-0.11046237463383335,-0.1618908253308291
2021-03-21T06:52:00Z,22.743,22.743,22.551,22.571,718.161,512.0813000000052,-0.12079454895821681,-0.16457600556658392
2021-03-21T06:53:00Z,22.615,22.693,22.592,22.693,361.213,506.4338500000052,-0.1276173066471661,-0.14935796571356263
2021-03-21T06:54:00Z,22.634,22.692,22.632,22.692,27.698,459.4440500000052,-0.13134940625397623,-0.13511400461930378
2021-03-21T06:55:00Z,22.689,22.862,22.645,22.797,398.662,464.8507500000052,-0.13273930593947272,-0.11082595276718266
2021-03-21T06:56:00Z,22.777,22.883,22.723,22.883,231.934,473.2681000000051,-0.13124008114767963,-0.08226680730613012
2021-03-21T06:57:00Z,22.858,22.882,22.724,22.831,362.143,412.67155000000514,-0.12904271441861292,-0.06595453604707302
2021-03-21T06:58:00Z,22.766,22.837,22.699,22.699,251.378,391.4706000000051,-0.1258437613547443,-0.06683946005760433
2021-03-21T06:59:00Z,22.703,22.771,22.633,22.714,314.179,365.89390000000515,-0.12035836843235743,-0.0641306965339119
2021-03-21T07:00:00Z,22.695,22.753,22.641,22.695,147.896,361.2836000000051,-0.11195468629547052,-0.06258204976186477
2021-03-21T07:01:00Z,22.741,22.76,22.687,22.76,174.469,356.10805000000516,-0.10151127627461194,-0.053085735316685145
2021-03-21T07:02:00Z,22.716,22.754,22.666,22.73,4596.09,535.6267500000051,-0.09118647845513808,-0.04831804931661665
2021-03-21T07:03:00Z,22.658,22.701,22.616,22.701,409.507,537.361350000005,-0.08048098437699283,-0.046815570706986165
2021-03-21T07:04:00Z,22.703,22.714,22.507,22.51,793.443,566.203300000005,-0.07276974909900989,-0.06453437765575032
2021-03-21T07:05:00Z,22.511,22.639,22.507,22.574,344.253,576.9625000000051,-0.06669705408627861,-0.06831435947925968
2021-03-21T07:06:00Z,22.572,22.576,22.53,22.556,17.464,569.0458000000051,-0.06307695122264176,-0.07100482126717722
2021-03-21T07:07:00Z,22.592,22.596,22.526,22.565,62.053,555.714500000005,-0.06196666918978557,-0.07005370494471208
2021-03-21T07:08:00Z,22.591,22.622,22.549,22.55,324.312,551.753000000005,-0.06225608737617963,-0.06913813609740771
2021-03-21T07:09:00Z,22.53,22.53,22.321,22.385,3323.135,677.1441000000051,-0.06381224314607468,-0.08395717352644994
2021-03-21T07:10:00Z,22.364,22.402,22.142,22.31,834.946,704.7297500000051,-0.06705265979242143,-0.09977527964372612
2021-03-21T07:11:00Z,22.304,22.43,22.303,22.346,685.065,718.9000500000051,-0.07084134915407571,-0.10425763274006172
2021-03-21T07:12:00Z,22.326,22.369,22.232,22.262,128.142,689.3991000000051,-0.07632377152480142,-0.11339238139466801
2021-03-21T07:13:00Z,22.222,22.29,22.183,22.232,170.038,679.8403500000052,-0.08282522838225664,-0.11983407474862418
2021-03-21T07:14:00Z,22.23,22.3,22.129,22.299,886.746,722.7927500000051,-0.0889433939327863,-0.11411539176281238
2021-03-21T07:15:00Z,22.289,22.292,22.13,22.154,367.195,721.2194000000051,-0.09420125006933944,-0.12237079515783478
2021-03-21T07:16:00Z,22.133,22.204,22,22.117,1215.506,770.398000000005,-0.09969142763004513,-0.12870631264702226
2021-03-21T07:17:00Z,22.083,22.083,21.99,22,930.699,798.8258000000051,-0.10613868387894178,-0.14192464000504046
2021-03-21T07:18:00Z,22.014,22.068,21.933,21.979,306.393,801.576550000005,-0.11335940810758222,-0.14948167145975688
2021-03-21T07:19:00Z,21.936,22.048,21.931,21.962,444.821,808.108650000005,-0.12094118025692618,-0.15253762974019125
2021-03-21T07:20:00Z,21.939,22.006,21.908,21.97,366.138,819.020750000005,-0.12692783201045413,-0.1498103428152575
2021-03-21T07:21:00Z,21.954,21.979,21.923,21.979,780.326,849.3136000000052,-0.13086470554988658,-0.14308088857748302
2021-03-21T07:22:00Z,21.993,22.45,21.993,22.346,1664.51,702.7346000000051,-0.13014518201682018,-0.09634287387633123
2021-03-21T07:23:00Z,22.392,22.643,22.392,22.489,1044.101,734.4643000000052,-0.12409085183890477,-0.046794749437598426
2021-03-21T07:24:00Z,22.485,22.485,22.099,22.35,2299.675,809.7759000000053,-0.11556990778875363,-0.026103690196961793
2021-03-21T07:25:00Z,22.375,22.464,22.142,22.209,499.546,817.5405500000053,-0.10755638056318614,-0.025966592281569945
2021-03-21T07:26:00Z,22.204,22.489,22.204,22.378,636.142,848.4744500000054,-0.09711543897654872,-0.007520437704823024
2021-03-21T07:27:00Z,22.384,22.402,22.238,22.346,1094.567,900.1001500000053,-0.08523405641711079,0.001988895506794819
2021-03-21T07:28:00Z,22.301,22.346,22.2,22.2,129.521,890.3606000000052,-0.07295045847385269,-0.0068050626292013305
2021-03-21T07:29:00Z,22.253,22.448,22.246,22.35,619.785,755.1931000000052,-0.05908630173153962,0.0030240527056868416
2021-03-21T07:30:00Z,22.346,22.402,22.299,22.346,73.138,717.1027000000053,-0.044376320558895864,0.009272163158890123
