00馬名,01開催場所,02天気,03ラウンド,05頭数,06枠番,07馬番,08オッズ,09人気,10着順,12斤量,13フィールド,14距離,15馬場,16馬場指数,17タイム,18着差,19タイム指数,20通過,21ペース,22上り,23馬体重,24賞金
イサク 　,2020/10/11,1,7,14,3,4,20.8,9,7,57,1,1800,1,[],112,0.7,[],8-7-7,36.1-34.8,35.0,484(+4), 
イサク 　,2020/10/11,1,7,14,3,4,20.8,9,7,57,1,1800,1,[],112,0.7,[],8-7-7,36.1-34.8,35.0,484(+4), 
イサク 　,2020/10/11,1,7,14,3,4,20.8,9,7,57,1,1800,1,[],112,0.7,[],8-7-7,36.1-34.8,35.0,484(+4), 
