00馬名,01開催場所,02天気,03ラウンド,05頭数,06枠番,07馬番,08オッズ,09人気,10着順,12斤量,13フィールド,14距離,15馬場,16馬場指数,17タイム,18着差,19タイム指数,20通過,21ペース,22上り,23馬体重,24賞金
 □地カツゲキダイオウ 　,2020/10/20,0,12,12,5,5,1.8,1,1,55,0,1200,1,-11,77.0,-0.1,73,3-3,19.25,37.9,488,0
 □地カツゲキダイオウ 　,2020/10/07,0,11,12,1,1,1.8,1,2,55,0,1200,3,-29,73.0,0.0,72,4-1,18.9,37.5,492,0
 □地カツゲキダイオウ 　,2020/09/23,1,11,9,4,4,2.1,2,1,54,0,1200,1,-15,78.0,-0.2,67,6-6,19.1,37.2,486,0
 □地カツゲキダイオウ 　,2020/09/03,3,11,12,5,5,4.0,2,1,54,0,1200,3,-10,81.0,-0.3,72,3-2,19.35,37.9,488,0
