00馬名,01開催場所,02天気,03ラウンド,05頭数,06枠番,07馬番,08オッズ,09人気,10着順,12斤量,13フィールド,14距離,15馬場,16馬場指数,17タイム,18着差,19タイム指数,20通過,21ペース,22上り,23馬体重,24賞金
 □地シュダイカ 　,2020/10/20,0,11,12,6,7,57.4,8,4,55,0,1000,1,-13,65.0,0.9,57,3-4,18.7,37.7,466,0
 □地シュダイカ 　,2020/10/07,0,11,12,8,11,178.7,9,10,55,0,1200,3,-29,76.0,2.1,44,3-5,18.9,39.6,468,0
 □地シュダイカ 　,2020/09/24,0,10,12,2,2,141.2,10,10,55,0,1200,1,-14,79.0,1.2,43,3-4,19.45,39.7,474,0
 □地シュダイカ 　,2020/08/16,0,8,11,7,9,16.8,7,10,55,0,1000,0,-9,66.0,1.7,50,5-7,35.95,37.9,476,0
