00馬名,01開催場所,02天気,03ラウンド,05頭数,06枠番,07馬番,08オッズ,09人気,10着順,12斤量,13フィールド,14距離,15馬場,16馬場指数,17タイム,18着差,19タイム指数,20通過,21ペース,22上り,23馬体重,24賞金
 □地リックマドカ 　,2020/09/24,0,10,12,6,8,366.3,11,11,53,0,1200,1,-14,80.0,3.1,17,11-11,19.45,38.0,452,0
 □地リックマドカ 　,2020/09/08,0,10,11,6,8,345.9,11,10,53,0,1200,1,-18,78.0,2.6,28,11-11,19.45,38.6,448,0
 □地リックマドカ 　,2020/08/25,1,10,10,4,4,107.9,9,6,53,0,1200,0,-3,78.0,2.2,31,10-9,19.7,38.7,456,0
 □地リックマドカ 　,2020/08/11,0,11,7,7,7,164.4,7,7,54,0,1200,1,-21,81.0,2.3,33,7-7,18.85,37.3,454,0
