,complete,volume,time,bid.o,bid.h,bid.l,bid.c
0,True,97,2021-01-08T21:55:00.000000000Z,103.960,103.965,103.884,103.884
0,True,97,2021-01-08T21:55:00.000000000Z,103.960,103.965,103.884,103.884
0,True,97,2021-01-08T21:55:00.000000000Z,103.960,103.965,103.884,103.884
