予測,テストデータの値
114.09879147324524,114.80000000000001
99.63724247765036,97.60000000000001
133.85878501514634,136.4
108.32197252474977,107.60000000000001
116.89708049057064,119.9
73.63278844590211,73.80000000000001
74.07523676222455,74.5
95.01240002465185,96.80000000000001
117.9409653093437,118.9
112.25394317931655,110.5
81.8483546333628,82.10000000000001
106.76177944687309,106.5
114.13525813934218,115.50000000000001
124.18996912167306,122.30000000000001
95.151609748018,97.7
87.69218784379107,88.60000000000001
98.51448673851839,95.7
73.74708440333127,74.0
104.3147977956521,105.80000000000001
74.25337256936434,72.7
94.6149701080294,93.9
95.62436849510969,94.80000000000001
121.77443072251414,121.10000000000001
118.71060944068647,120.7
106.25460563965247,108.5
107.36382400865732,108.7
106.27048194158697,107.5
111.2009330583514,109.10000000000001
103.07037065853446,104.60000000000001
71.82169792129086,71.5
105.28071339084109,105.80000000000001
80.56287751136084,80.2
104.78638158495538,105.5
124.84433734086592,122.30000000000001
73.282340775053,72.5
114.3854636978238,115.00000000000001
112.12940433189924,115.9
82.23929842319806,82.10000000000001
99.19039779225791,99.2
110.67774640443078,112.2
111.47874913808964,110.10000000000001
82.73203548662035,81.60000000000001
110.81651667279395,113.2
111.38498008572854,109.30000000000001
162.1296713731885,160.4
120.74771817265109,122.80000000000001
111.08243684219558,111.80000000000001
121.740946995682,121.80000000000001
126.28729449907367,124.50000000000001
161.85686192679958,163.4
112.89269821510497,112.7
106.71574080128958,107.9
80.75685527452782,80.7
118.87443951461908,118.60000000000001
84.47808301624956,85.0
109.99585574555455,109.60000000000001
72.82807137992506,72.0
99.78310159051166,99.30000000000001
72.63787935580018,73.80000000000001
109.68129636083044,111.10000000000001
107.36828199987646,108.5
99.34858463645132,97.60000000000001
97.24453687457306,94.80000000000001
111.66297570639163,113.30000000000001
126.4071100932034,126.50000000000001
134.88041405620692,134.0
70.17786498683111,70.0
107.4473712537298,107.4
123.2828480177737,123.2
95.35174808287395,95.4
120.52034632051458,122.80000000000001
108.31852519545457,108.9
74.96561347587594,73.9
113.36726949674154,115.10000000000001
161.83843229635312,164.5
108.836139908482,109.2
73.10311346534475,72.7
94.30613429750433,94.30000000000001
112.10788711108323,113.5
112.41840658964337,113.7
85.03114328070824,83.7
82.60275612564162,83.4
115.49180169244049,117.80000000000001
68.14492992977141,68.9
121.93415276642297,120.80000000000001
69.03298708248396,68.10000000000001
110.42664258500166,111.2
148.5758620306376,148.3
97.09543418849462,96.2
71.94362187864495,71.30000000000001
97.57300732435978,97.4
155.04003470853144,156.9
126.03686217225321,126.00000000000001
107.84607271981527,107.60000000000001
123.29180458847684,122.30000000000001
69.72118920346757,69.4
111.79078804939756,113.2
132.42978714826108,133.5
70.53399164746078,69.80000000000001
152.54212777781902,158.10000000000002
69.5912172936175,69.5
108.71619294303581,109.5
96.78644161068608,95.30000000000001
134.374712613368,132.70000000000002
83.84644439602808,82.10000000000001
81.53363739711861,81.9
98.09702632153456,96.0
108.31156511271995,108.30000000000001
69.23904649138477,68.5
122.77471972284273,118.9
112.6818946119647,112.7
121.07024789112391,119.4
127.69997258294715,126.60000000000001
73.37185545794003,73.60000000000001
101.80407781223649,101.2
70.4814217811829,71.0
55.044137797039724,54.900000000000006
139.62295322018855,136.8
113.18283890992201,114.2
87.59100198441224,86.9
123.72036978973001,122.4
73.2654070488781,73.30000000000001
95.77353152826014,94.4
69.10620994771222,69.4
78.275114424971,79.60000000000001
86.65804418997928,87.0
94.47335713030783,93.9
154.59597829061556,157.70000000000002
112.0925557865986,112.5
77.61474459693194,77.9
95.09809311776498,92.7
94.34097013425297,93.30000000000001
69.63762559190431,69.80000000000001
94.8333988132042,94.10000000000001
126.51359158553315,126.80000000000001
120.9098030617469,119.7
150.42153933245646,148.20000000000002
69.57659982091427,68.80000000000001
67.19241972105985,69.30000000000001
96.96230999336485,95.4
111.32154726494086,108.9
79.4295083460896,80.30000000000001
121.35952089444531,122.50000000000001
70.27788784433064,69.10000000000001
115.04084463435625,117.80000000000001
70.92066855607776,71.10000000000001
97.57188901927525,96.0
54.63845459025221,55.1
108.16778643843877,109.80000000000001
68.45227597487083,68.10000000000001
55.205805927559695,55.800000000000004
107.6260195235031,106.0
113.22100636680806,110.4
68.2646728199874,68.9
108.53608186075995,107.9
72.17137095424509,71.5
106.22850067013489,107.4
96.88177698675328,97.2
132.0358243144206,136.6
83.26140593593631,83.30000000000001
99.04186671006521,99.0
98.53254032279004,97.30000000000001
114.03681195912408,116.30000000000001
82.19959965910651,81.5
82.90329557359252,84.0
82.218471484841,81.10000000000001
126.56192320970796,128.5
122.14009349196631,123.10000000000001
115.8691807241445,116.9
111.30229179523464,113.0
128.8849783429444,130.5
113.09920536971912,113.60000000000001
124.02264139866047,124.2
109.5289586644977,110.0
114.63581703243365,119.00000000000001
72.14675000072614,70.2
61.53297678470513,61.2
108.95367832145762,111.10000000000001
85.46915649270888,84.5
111.37483707070199,113.7
84.3995211031482,84.7
112.37909680599476,110.9
