,名前,天気,ラウンド,頭数,馬番,斥量,フィールド,距離,馬場,馬場指数,着差,タイム指数,上り,馬体重,賞金,着順,タイム
34158,1,1,1,16,13,54.0,1.0,1800,1,-7.0,1.8,48.0,40.6,64.0,0.0,8,118.7
34159,1,1,3,16,11,56.0,1.0,1800,1,-7.0,2.4,49.0,39.7,40.0,0.0,13,118.60000000000001
34160,1,1,1,15,11,54.0,1.0,1400,1,5.0,1.6,73.0,39.0,82.0,0.0,7,87.2
34161,1,1,5,13,3,56.0,1.0,2000,1,-13.0,0.6,82.0,35.6,94.0,0.0,6,121.50000000000001
34162,1,1,3,16,16,56.0,1.0,1800,1,-7.0,0.2,69.0,38.4,32.0,77.0,4,116.4
34163,1,1,2,11,9,56.0,1.0,1800,1,5.0,1,78.0,39.6,8.0,77.0,4,115.7
34164,1,1,5,13,10,54.0,1.0,2000,1,-13.0,1,76.0,36.7,8.0,0.0,8,121.9
34165,1,1,2,16,14,54.0,1.0,1200,1,-9.0,3.2,40.0,39.7,28.0,0.0,12,75.2
34166,1,1,2,11,4,56.0,1.0,1800,1,5.0,-0.4,87.0,38.3,14.0,510.0,1,114.7
34167,1,1,1,15,1,54.0,1.0,1400,1,5.0,2.6,61.0,37.9,72.0,0.0,12,88.2
34168,1,1,5,13,8,56.0,1.0,2000,1,-13.0,1.2,75.0,36.4,50.0,0.0,10,122.10000000000001
34169,1,1,5,16,15,53.0,1.0,1600,1,-7.0,1.1,70.0,34.9,72.0,0.0,10,97.2
34170,1,1,5,16,13,54.0,1.0,1600,1,-7.0,1.3,63.0,36.3,90.0,0.0,11,97.4
34171,1,1,5,16,7,54.0,1.0,1600,1,-7.0,1.5,62.0,36.3,84.0,0.0,14,97.60000000000001
34172,1,1,6,16,1,56.0,1.0,2000,1,-7.0,0.4,77.0,35.8,64.0,51.0,5,123.4
34173,1,1,1,15,9,53.0,1.0,1400,1,5.0,1.6,73.0,38.7,70.0,0.0,8,87.2
34174,1,1,2,11,11,56.0,1.0,1800,1,5.0,2.6,64.0,40.4,88.0,0.0,7,117.30000000000001
34175,1,1,3,15,2,52.0,1.0,1400,1,-13.0,-0.2,94.0,34.8,16.0,510.0,1,81.2
34176,1,1,3,15,1,53.0,1.0,1400,1,-13.0,0.2,92.0,35.2,60.0,200.0,2,81.4
34177,1,1,3,15,3,54.0,1.0,1400,1,-13.0,0.3,91.0,34.9,58.0,77.0,4,81.5
34178,1,1,3,15,4,54.0,1.0,1400,1,-13.0,0.5,88.0,35.3,74.0,51.0,5,81.7
34179,1,1,3,15,7,56.0,1.0,1400,1,-13.0,1.2,81.0,35.1,54.0,0.0,11,82.4
34180,1,1,5,13,13,56.0,1.0,2000,1,-13.0,4,51.0,39.8,72.0,0.0,13,124.9
34182,1,1,6,9,7,56.0,1.0,1800,1,5.0,0.3,79.0,38.7,66.0,180.0,3,115.60000000000001
34183,1,1,6,9,3,54.0,1.0,1800,1,5.0,0.7,76.0,39.5,96.0,73.0,5,116.00000000000001
34184,1,1,6,9,5,56.0,1.0,1800,1,5.0,0,82.0,39.3,72.0,730.0,1,115.30000000000001
34185,1,1,6,9,9,56.0,1.0,1800,1,5.0,1.2,71.0,39.6,44.0,0.0,7,116.50000000000001
34186,1,1,6,9,6,53.0,1.0,1800,1,5.0,4.2,45.0,43.5,68.0,0.0,9,119.50000000000001
34187,1,1,9,16,10,54.0,1.0,2000,1,4.0,2.2,90.0,38.7,0.0,0.0,11,127.9
34188,1,1,9,16,13,55.0,1.0,2000,1,4.0,0.5,103.0,37.6,96.0,610.0,2,126.2
34189,1,1,9,16,11,55.0,1.0,2000,1,4.0,1.6,94.0,38.3,86.0,150.0,5,127.30000000000001
34190,1,1,9,16,16,52.0,1.0,2000,1,4.0,2.8,85.0,39.4,62.0,0.0,14,128.5
34191,1,1,9,16,15,53.0,1.0,2000,1,4.0,2.5,87.0,39.2,92.0,0.0,12,128.20000000000002
34192,1,1,9,16,14,55.0,1.0,2000,1,4.0,1.8,93.0,38.4,90.0,0.0,8,127.50000000000001
34193,1,1,9,16,3,53.0,1.0,2000,1,4.0,2.1,91.0,38.7,0.0,0.0,10,127.80000000000001
34194,1,1,9,16,12,56.0,1.0,2000,1,4.0,-0.5,108.0,37.3,72.0,1535.0,1,125.7
34195,1,1,9,16,9,53.0,1.0,2000,1,4.0,2,91.0,38.1,8.0,0.0,9,127.7
34196,1,1,9,16,6,54.0,1.0,2000,1,4.0,0.8,101.0,38.4,38.0,385.0,3,126.50000000000001
34197,1,1,9,16,5,54.0,1.0,2000,1,4.0,1.2,98.0,38.1,56.0,230.0,4,126.9
34198,1,1,9,16,1,56.0,1.0,2000,1,4.0,4.4,72.0,40.6,14.0,0.0,16,130.1
34199,1,1,11,16,8,55.0,1.0,1200,1,-10.0,-0.6,115.0,35.5,84.0,2235.0,1,69.7
34200,1,1,11,16,7,54.0,1.0,1200,1,-10.0,0.6,107.0,35.9,94.0,890.0,2,70.30000000000001
34201,1,1,11,16,6,53.0,1.0,1200,1,-10.0,0.9,103.0,34.8,86.0,0.0,7,70.60000000000001
34202,1,1,11,16,12,57.5,1.0,1200,1,-10.0,0.7,105.0,35.9,6.0,555.0,3,70.4
34203,1,1,11,16,10,55.0,1.0,1200,1,-10.0,1.5,94.0,36.3,50.0,0.0,12,71.2
34204,1,1,11,16,3,53.0,1.0,1200,1,-10.0,1.9,89.0,37.8,94.0,0.0,15,71.60000000000001
34205,1,1,11,16,2,53.0,1.0,1200,1,-10.0,1.5,94.0,35.9,44.0,0.0,11,71.2
34206,1,1,11,16,16,56.0,1.0,1200,1,-10.0,0.7,105.0,35.5,92.0,330.0,4,70.4
34207,1,1,11,16,9,56.0,1.0,1200,1,-10.0,1.2,98.0,36.5,0.0,0.0,9,70.9
34208,1,1,11,16,4,53.0,1.0,1200,1,-10.0,0.8,104.0,36.4,52.0,0.0,6,70.5
34209,1,1,11,16,15,57.0,1.0,1200,1,-10.0,1.6,93.0,36.7,86.0,0.0,13,71.30000000000001
34210,1,1,11,16,13,54.0,1.0,1200,1,-10.0,0.7,105.0,35.4,4.0,220.0,5,70.4
34221,1,1,11,12,7,56.0,1.0,2000,1,-12.0,0.5,105.0,33.9,72.0,504.0,3,119.10000000000001
34222,1,1,11,12,6,56.0,1.0,2000,1,-12.0,1.9,95.0,34.4,46.0,0.0,10,120.50000000000001
34223,1,1,11,12,11,56.0,1.0,2000,1,-12.0,0.8,101.0,34.7,8.0,300.0,4,119.4
34224,1,1,11,12,4,56.0,1.0,2000,1,-12.0,1.3,99.0,34.5,64.0,0.0,6,119.9
34225,1,1,11,12,1,56.0,1.0,2000,1,-12.0,-0.3,110.0,33.6,30.0,2028.0,1,118.60000000000001
34226,1,1,11,12,9,56.0,1.0,2000,1,-12.0,1.7,95.0,34.5,54.0,0.0,9,120.30000000000001
34227,1,1,11,12,12,56.0,1.0,2000,1,-12.0,0.3,105.0,35.0,38.0,808.0,2,118.9
34228,1,1,11,12,3,56.0,1.0,2000,1,-12.0,1.1,100.0,34.5,10.0,200.0,5,119.7
34230,1,1,10,11,1,55.0,1.0,2000,1,-8.0,0.1,97.0,36.0,52.0,607.0,2,120.7
34231,1,1,10,11,11,57.0,1.0,2000,1,-8.0,-0.1,98.0,35.4,34.0,1524.5,1,120.60000000000001
34232,1,1,10,11,2,57.0,1.0,2000,1,-8.0,0.2,96.0,35.5,56.0,230.0,4,120.80000000000001
34233,1,1,10,11,6,57.0,1.0,2000,1,-8.0,0.3,97.0,35.4,80.0,150.0,5,120.9
34234,1,1,10,11,7,57.0,1.0,2000,1,-8.0,0.2,96.0,36.3,86.0,383.5,3,120.80000000000001
34235,1,1,10,11,4,57.0,1.0,2000,1,-8.0,0.6,93.0,36.2,52.0,0.0,6,121.2
34236,1,1,10,11,10,57.0,1.0,2000,1,-8.0,0.8,93.0,35.7,74.0,0.0,7,121.4
34237,1,1,10,11,9,57.0,1.0,2000,1,-8.0,2.1,80.0,37.6,92.0,0.0,11,122.7
34238,1,1,10,11,3,57.0,1.0,2000,1,-8.0,1.2,88.0,37.2,42.0,0.0,8,121.80000000000001
34239,1,1,10,11,5,57.0,1.0,2000,1,-8.0,1.3,87.0,36.3,0.0,0.0,9,121.9
34240,1,1,9,8,4,56.0,1.0,1600,1,-8.0,0.3,84.0,35.8,56.0,150.0,4,95.4
34241,1,1,9,8,1,54.0,1.0,1600,1,-8.0,0.4,84.0,35.2,46.0,101.0,5,95.5
34242,1,1,9,8,7,54.0,1.0,1600,1,-8.0,1.7,69.0,37.0,42.0,0.0,8,96.80000000000001
34243,1,1,9,8,5,56.0,1.0,1600,1,-8.0,0,87.0,35.4,36.0,1028.9,1,95.10000000000001
34244,1,1,9,8,2,56.0,1.0,1600,1,-8.0,1.5,71.0,36.9,78.0,0.0,7,96.60000000000001
34245,1,1,9,8,3,54.0,1.0,1600,1,-8.0,0,87.0,35.8,62.0,405.4,2,95.10000000000001
34246,1,1,9,8,8,54.0,1.0,1600,1,-8.0,0.6,80.0,35.7,68.0,0.0,6,95.7
34247,1,1,10,12,7,55.0,1.0,1200,1,-12.0,1,79.0,34.1,74.0,0.0,10,69.80000000000001
34248,1,1,10,12,3,55.0,1.0,1200,1,-12.0,1.2,76.0,35.2,36.0,0.0,11,70.0
34249,1,1,10,12,12,57.0,1.0,1200,1,-12.0,-0.2,94.0,33.7,84.0,1525.9,1,68.80000000000001
34250,1,1,10,12,10,57.0,1.0,1200,1,-12.0,0.9,81.0,34.2,96.0,0.0,9,69.7
34251,1,1,10,12,5,55.0,1.0,1200,1,-12.0,0.3,89.0,33.6,28.0,230.0,4,69.10000000000001
34252,1,1,10,12,11,55.0,1.0,1200,1,-12.0,0.2,91.0,34.0,48.0,607.4,2,69.0
34253,1,1,10,12,6,57.0,1.0,1200,1,-12.0,1.4,74.0,34.5,86.0,0.0,12,70.2
34255,1,1,12,16,7,57.0,1.0,1600,1,-8.0,1.5,80.0,35.2,66.0,0.0,8,96.0
34256,1,1,7,8,3,56.0,1.0,2400,1,-9.0,1.3,76.0,38.1,76.0,110.0,4,159.10000000000002
34257,1,1,7,8,7,57.0,1.0,2400,1,-9.0,1.4,75.0,38.1,48.0,76.0,5,159.20000000000002
34258,1,1,12,16,8,55.0,1.0,1600,1,-8.0,0.8,88.0,34.7,42.0,300.0,2,95.30000000000001
34259,1,1,12,16,16,55.0,1.0,1600,1,-8.0,1.8,77.0,35.2,54.0,0.0,11,96.30000000000001
34260,1,1,8,16,1,55.0,1.0,1200,1,-10.0,1.3,59.0,37.7,82.0,0.0,15,73.7
34261,1,1,8,16,11,55.0,1.0,1200,1,-10.0,0.8,66.0,37.0,64.0,0.0,10,73.2
34262,1,1,8,16,3,55.0,1.0,1200,1,-10.0,0.2,75.0,36.7,84.0,110.0,4,72.60000000000001
34263,1,1,12,16,2,53.0,1.0,1600,1,-8.0,1.4,81.0,35.1,40.0,0.0,6,95.9
34264,1,1,8,16,15,55.0,1.0,1200,1,-10.0,0.6,69.0,36.7,72.0,0.0,8,73.0
34265,1,1,8,9,9,57.0,1.0,1800,1,4.0,2.3,63.0,40.4,16.0,0.0,8,117.30000000000001
34266,1,1,8,9,5,57.0,1.0,1800,1,4.0,0,85.0,37.4,88.0,300.0,2,115.00000000000001
34267,1,1,7,8,1,56.0,1.0,2400,1,-9.0,2.9,63.0,39.9,8.0,0.0,8,160.70000000000002
34268,1,1,7,8,2,57.0,1.0,2400,1,-9.0,0.5,81.0,37.6,10.0,300.0,2,158.3
34269,1,1,12,16,11,54.0,1.0,1600,1,-8.0,1.9,77.0,35.3,6.0,0.0,14,96.4
34270,1,1,8,9,8,57.0,1.0,1800,1,4.0,1,75.0,38.6,22.0,110.0,4,116.00000000000001
34271,1,1,8,16,14,53.0,1.0,1200,1,-10.0,0.8,66.0,38.2,48.0,0.0,11,73.2
34272,1,1,12,11,6,57.0,1.0,1400,1,4.0,0.7,85.0,37.6,84.0,110.0,4,86.10000000000001
34273,1,1,12,11,9,57.0,1.0,1400,1,4.0,0.1,92.0,37.2,16.0,300.0,2,85.5
34274,1,1,8,16,8,55.0,1.0,1200,1,-10.0,0.2,75.0,36.9,62.0,190.0,3,72.60000000000001
34275,1,1,12,11,1,57.0,1.0,1400,1,4.0,5.6,27.0,43.2,80.0,0.0,10,91.0
34276,1,1,7,8,6,57.0,1.0,2400,1,-9.0,-0.5,84.0,37.3,6.0,760.0,1,157.8
34277,1,1,8,16,7,55.0,1.0,1200,1,-10.0,0.9,65.0,37.6,82.0,0.0,12,73.30000000000001
34278,1,1,12,16,1,57.0,1.0,1600,1,-8.0,-0.8,100.0,34.2,74.0,760.0,1,94.5
34279,1,1,12,16,15,52.0,1.0,1600,1,-8.0,1.9,76.0,35.3,70.0,0.0,12,96.4
34280,1,1,12,16,4,57.0,1.0,1600,1,-8.0,3,62.0,36.9,4.0,0.0,16,97.5
34281,1,1,8,9,7,57.0,1.0,1800,1,4.0,0,84.0,37.9,66.0,760.0,1,115.00000000000001
34282,1,1,8,9,3,57.0,1.0,1800,1,4.0,1.3,72.0,39.3,38.0,0.0,7,116.30000000000001
34283,1,1,2,16,13,53.0,1.0,1200,1,4.0,1,59.0,38.8,14.0,0.0,6,75.10000000000001
34284,1,1,2,16,1,52.0,1.0,1200,1,4.0,1,59.0,39.2,40.0,51.0,5,75.10000000000001
34285,1,1,2,16,4,56.0,1.0,1200,1,-10.0,0.4,73.0,38.6,10.0,200.0,2,72.7
34286,1,1,3,15,13,56.0,1.0,1800,1,-9.0,0.8,74.0,39.5,62.0,51.0,5,115.50000000000001
34287,1,1,6,13,5,56.0,1.0,2200,1,-12.0,2.2,75.0,38.3,6.0,0.0,8,135.70000000000002
34288,1,1,3,15,10,56.0,1.0,1800,1,-9.0,1.3,70.0,39.9,12.0,0.0,6,116.00000000000001
34289,1,1,4,14,6,56.0,1.0,1400,1,4.0,2.1,58.0,39.7,76.0,0.0,11,88.4
34290,1,1,4,14,11,56.0,1.0,1400,1,4.0,0.7,74.0,38.4,90.0,0.0,6,87.0
34291,1,1,3,15,1,56.0,1.0,1800,1,-9.0,0.8,74.0,39.3,0.0,77.0,4,115.50000000000001
34292,1,1,2,16,12,54.0,1.0,1200,1,-10.0,1,65.0,38.3,44.0,51.0,5,73.30000000000001
34293,1,1,3,15,2,53.0,1.0,1800,1,-9.0,6.9,21.0,44.3,40.0,0.0,15,121.60000000000001
