現在時刻,予測時刻,オーダー,予測値,MACD_judge,現在価格,tp,sl
2021/03/29/ 23:07:17,2021-03-29 09:00,注文無し,109.173,1,109.77499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:18,2021-03-29 09:05,注文無し,109.17,0,109.77900000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:18,2021-03-29 09:10,売り注文(少),109.077,1,109.791,109.773,109.804
2021/03/29/ 23:07:19,2021-03-29 09:15,注文無し,109.17,1,109.705,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:19,2021-03-29 09:20,注文無し,109.179,1,109.709,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:20,2021-03-29 09:25,売り注文(極少),109.162,1,109.696,109.678,109.709
2021/03/29/ 23:07:20,2021-03-29 09:30,売り注文(少),109.137,1,109.67099999999999,109.65299999999999,109.684
2021/03/29/ 23:07:21,2021-03-29 09:35,注文無し,109.142,1,109.673,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:22,2021-03-29 09:40,売り注文(極少),109.134,1,109.652,motikosi,109.665
2021/03/29/ 23:07:22,2021-03-29 09:45,注文無し,109.136,1,109.65499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:23,2021-03-29 09:50,買い注文(極少),109.139,0,109.67399999999999,109.692,109.66099999999999
2021/03/29/ 23:07:23,2021-03-29 09:55,注文無し,109.162,1,109.693,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:24,2021-03-29 10:00,売り注文(極少),109.144,1,109.675,109.657,109.688
2021/03/29/ 23:07:24,2021-03-29 10:05,売り注文(極少),109.14,1,109.65400000000001,109.63600000000001,109.66700000000002
2021/03/29/ 23:07:25,2021-03-29 10:10,売り注文(極少),109.138,1,109.668,109.65,109.68100000000001
2021/03/29/ 23:07:25,2021-03-29 10:15,売り注文(極少),109.136,1,109.651,109.633,109.664
2021/03/29/ 23:07:26,2021-03-29 10:20,買い注文(極少),109.138,0,109.65899999999999,109.67699999999999,109.64599999999999
2021/03/29/ 23:07:26,2021-03-29 10:25,買い注文(極少),109.15,0,109.68799999999999,109.70499999999998,109.67499999999998
2021/03/29/ 23:07:27,2021-03-29 10:30,買い注文(少),109.18,0,109.70700000000001,ポジション持ち越し,ポジション持ち越し
2021/03/29/ 23:07:27,2021-03-29 10:35,買い注文(極少),109.192,0,109.712,109.73,109.699
2021/03/29/ 23:07:28,2021-03-29 10:40,注文無し,109.151,0,109.683,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:28,2021-03-29 10:45,注文無し,109.182,1,109.69999999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:29,2021-03-29 10:50,売り注文(少),109.148,1,109.66900000000001,109.65100000000001,109.68200000000002
2021/03/29/ 23:07:29,2021-03-29 10:55,売り注文(極少),109.141,1,109.63600000000001,109.653,109.623
2021/03/29/ 23:07:30,2021-03-29 11:00,買い注文(極少),109.143,0,109.62,109.638,109.607
2021/03/29/ 23:07:30,2021-03-29 11:05,売り注文(極少),109.142,1,109.65599999999999,109.63799999999999,109.669
2021/03/29/ 23:07:31,2021-03-29 11:10,売り注文(極少),109.134,1,109.62499999999999,motikosi,109.63799999999999
2021/03/29/ 23:07:31,2021-03-29 11:15,注文無し,109.135,1,109.61099999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:32,2021-03-29 11:20,売り注文(極少),109.134,1,109.55999999999999,motikosi,109.573
2021/03/29/ 23:07:33,2021-03-29 11:25,売り注文(少),109.065,1,109.55499999999999,109.53699999999999,109.568
2021/03/29/ 23:07:33,2021-03-29 11:30,注文無し,109.065,1,109.55499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:34,2021-03-29 11:35,注文無し,109.066,1,109.547,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:34,2021-03-29 11:40,注文無し,109.069,1,109.52900000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:35,2021-03-29 11:45,注文無し,109.072,1,109.519,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:35,2021-03-29 11:50,注文無し,109.074,1,109.509,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:36,2021-03-29 11:55,注文無し,109.074,1,109.509,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:36,2021-03-29 12:00,買い注文(極少),109.076,0,109.51,109.528,109.497
2021/03/29/ 23:07:37,2021-03-29 12:05,注文無し,109.077,1,109.50800000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:37,2021-03-29 12:10,注文無し,109.085,1,109.481,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:38,2021-03-29 12:15,注文無し,109.088,1,109.475,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:38,2021-03-29 12:20,注文無し,109.095,1,109.46300000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:39,2021-03-29 12:25,買い注文(極少),109.105,0,109.45,109.468,109.437
2021/03/29/ 23:07:40,2021-03-29 12:30,注文無し,109.096,0,109.46499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:40,2021-03-29 12:35,注文無し,109.09,0,109.47999999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:41,2021-03-29 12:40,買い注文(極少),109.092,0,109.484,ポジション持ち越し,ポジション持ち越し
2021/03/29/ 23:07:41,2021-03-29 12:45,注文無し,109.084,0,109.497,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:42,2021-03-29 12:50,注文無し,109.084,0,109.497,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:42,2021-03-29 12:55,注文無し,109.076,0,109.5185,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:43,2021-03-29 13:00,注文無し,109.074,0,109.52999999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:43,2021-03-29 13:05,注文無し,109.074,0,109.53099999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:44,2021-03-29 13:10,注文無し,109.072,0,109.528,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:44,2021-03-29 13:15,買い注文(極少),109.073,0,109.53399999999999,109.55199999999999,109.52099999999999
2021/03/29/ 23:07:45,2021-03-29 13:20,買い注文(極少),109.079,0,109.51299999999999,109.53099999999999,109.49999999999999
2021/03/29/ 23:07:45,2021-03-29 13:25,注文無し,109.074,0,109.527,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:46,2021-03-29 13:30,買い注文(極少),109.075,0,109.53200000000001,109.55000000000001,109.519
2021/03/29/ 23:07:46,2021-03-29 13:35,買い注文(極少),109.08,0,109.512,ポジション持ち越し,ポジション持ち越し
2021/03/29/ 23:07:47,2021-03-29 13:40,注文無し,109.078,0,109.51499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:48,2021-03-29 13:45,注文無し,109.075,0,109.521,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:48,2021-03-29 13:50,注文無し,109.074,0,109.527,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:49,2021-03-29 13:55,注文無し,109.071,0,109.54499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:49,2021-03-29 14:00,買い注文(極少),109.073,0,109.536,ポジション持ち越し,ポジション持ち越し
2021/03/29/ 23:07:50,2021-03-29 14:05,注文無し,109.073,0,109.535,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:50,2021-03-29 14:10,注文無し,109.069,0,109.54499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:51,2021-03-29 14:15,注文無し,109.071,1,109.539,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:51,2021-03-29 14:20,注文無し,109.086,1,109.52499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:52,2021-03-29 14:25,注文無し,109.171,1,109.379,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:52,2021-03-29 14:30,売り注文(少),109.14,1,109.423,109.405,109.436
2021/03/29/ 23:07:53,2021-03-29 14:35,売り注文(極少),109.132,1,109.432,motikosi,109.44500000000001
2021/03/29/ 23:07:53,2021-03-29 14:40,売り注文(極少),109.127,1,109.437,109.419,109.45
2021/03/29/ 23:07:54,2021-03-29 14:45,注文無し,109.116,0,109.453,予測値が同じためオーダーしない,予測値が同じためオーダーしない
