現在時刻,予測時刻,オーダー,予測値,MACD_judge,現在価格,tp,sl
2021/04/10/ 12:02:39,2021-03-16 19:15,注文無し,109.174,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:39,2021-03-16 19:30,買い注文,109.176,1,109.196,109.214,109.18299999999999
2021/04/10/ 12:02:39,2021-03-16 19:45,注文無し,109.197,1,109.196,109.214,109.18299999999999
2021/04/10/ 12:02:39,2021-03-16 20:00,売り注文,109.184,1,109.188,109.17,109.20100000000001
2021/04/10/ 12:02:39,2021-03-16 20:15,売り注文,109.164,1,109.145,109.127,109.158
2021/04/10/ 12:02:39,2021-03-16 20:30,注文無し,109.125,1,109.145,109.127,109.158
2021/04/10/ 12:02:39,2021-03-16 20:45,注文無し,109.126,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 21:00,注文無し,109.123,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 21:15,注文無し,109.093,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 21:30,注文無し,109.064,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 21:45,注文無し,109.027,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 22:00,注文無し,108.972,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 22:15,注文無し,109.02,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 22:30,注文無し,108.974,1,109.145,109.127,109.158
2021/04/10/ 12:02:40,2021-03-16 22:45,注文無し,108.97,1,109.145,109.127,109.158
2021/04/10/ 12:02:41,2021-03-16 23:00,注文無し,108.877,1,109.145,109.127,109.158
2021/04/10/ 12:02:41,2021-03-16 23:15,注文無し,108.839,1,109.145,109.127,109.158
2021/04/10/ 12:02:41,2021-03-16 23:30,注文無し,108.801,1,109.145,109.127,109.158
2021/04/10/ 12:02:41,2021-03-16 23:45,買い注文,108.826,1,108.85799999999999,108.87599999999999,108.84499999999998
2021/04/10/ 12:02:41,2021-03-17 00:00,買い注文,108.849,0,108.82600000000001,108.84400000000001,108.813
2021/04/10/ 12:02:41,2021-03-17 00:15,売り注文,108.825,0,108.867,108.849,108.88000000000001
2021/04/10/ 12:02:41,2021-03-17 00:30,注文無し,108.865,0,108.867,108.849,108.88000000000001
2021/04/10/ 12:02:41,2021-03-17 00:45,注文無し,108.898,0,108.867,108.849,108.88000000000001
2021/04/10/ 12:02:42,2021-03-17 01:00,注文無し,108.971,0,108.867,108.849,108.88000000000001
2021/04/10/ 12:02:42,2021-03-17 01:15,買い注文,109.025,0,109.068,109.086,109.05499999999999
2021/04/10/ 12:02:42,2021-03-17 01:30,注文無し,109.04,0,109.068,109.086,109.05499999999999
2021/04/10/ 12:02:42,2021-03-17 01:45,売り注文,108.986,0,108.97900000000001,108.96100000000001,108.99200000000002
2021/04/10/ 12:02:42,2021-03-17 02:00,売り注文,108.978,0,109.021,109.003,109.034
2021/04/10/ 12:02:42,2021-03-17 02:15,注文無し,109.001,0,109.021,109.003,109.034
2021/04/10/ 12:02:42,2021-03-17 02:30,売り注文,108.995,1,109.03099999999999,109.01299999999999,109.044
2021/04/10/ 12:02:43,2021-03-17 02:45,売り注文,108.989,1,108.955,108.937,108.968
2021/04/10/ 12:02:43,2021-03-17 03:00,売り注文,108.947,0,108.943,108.925,108.956
2021/04/10/ 12:02:43,2021-03-17 03:15,売り注文,108.937,0,108.97999999999999,108.96199999999999,108.993
2021/04/10/ 12:02:43,2021-03-17 03:30,買い注文,108.976,1,109.012,109.03,108.999
2021/04/10/ 12:02:43,2021-03-17 03:45,買い注文,108.978,0,108.97200000000001,108.99000000000001,108.959
2021/04/10/ 12:02:43,2021-03-17 04:00,売り注文,108.959,0,108.991,108.973,109.004
2021/04/10/ 12:02:43,2021-03-17 04:15,買い注文,108.975,0,109.006,109.024,108.993
2021/04/10/ 12:02:43,2021-03-17 04:30,売り注文,108.971,0,108.99300000000001,motikosi,109.00600000000001
2021/04/10/ 12:02:44,2021-03-17 04:45,買い注文,108.977,1,109.00399999999999,109.02199999999999,108.99099999999999
2021/04/10/ 12:02:44,2021-03-17 05:00,買い注文,108.981,1,108.98200000000001,109.00000000000001,108.96900000000001
2021/04/10/ 12:02:44,2021-03-17 05:15,売り注文,108.956,0,108.968,108.95,108.98100000000001
2021/04/10/ 12:02:44,2021-03-17 05:30,売り注文,108.954,0,108.982,108.964,108.995
2021/04/10/ 12:02:44,2021-03-17 05:45,買い注文,108.973,0,108.988,109.006,108.975
2021/04/10/ 12:02:44,2021-03-17 06:00,買い注文,108.979,0,109.007,109.025,108.994
2021/04/10/ 12:02:44,2021-03-17 06:15,買い注文,109.001,0,109.01700000000001,109.03500000000001,109.004
2021/04/10/ 12:02:45,2021-03-17 06:30,売り注文,108.992,0,108.997,motikosi,109.01
2021/04/10/ 12:02:45,2021-03-17 06:45,売り注文,108.983,0,108.997,motikosi,109.01
2021/04/10/ 12:02:45,2021-03-17 07:00,注文無し,108.983,1,108.996,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:45,2021-03-17 07:15,売り注文,108.981,0,108.991,108.973,109.004
2021/04/10/ 12:02:45,2021-03-17 07:30,売り注文,108.98,0,108.998,108.98,109.01100000000001
2021/04/10/ 12:02:45,2021-03-17 07:45,買い注文,108.987,0,109.014,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:45,2021-03-17 08:00,買い注文,108.994,1,109.006,109.024,108.993
2021/04/10/ 12:02:46,2021-03-17 08:15,注文無し,108.994,1,108.99499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:46,2021-03-17 08:30,売り注文,108.99,0,108.99499999999999,108.97699999999999,109.008
2021/04/10/ 12:02:46,2021-03-17 08:45,買い注文,108.991,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:46,2021-03-17 09:00,注文無し,109.005,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:46,2021-03-17 09:15,注文無し,109.025,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:46,2021-03-17 09:30,注文無し,109.03,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:46,2021-03-17 09:45,注文無し,109.031,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:47,2021-03-17 10:00,注文無し,109.062,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:47,2021-03-17 10:15,注文無し,109.071,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:47,2021-03-17 10:30,注文無し,109.096,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:47,2021-03-17 10:45,注文無し,109.112,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:47,2021-03-17 11:00,注文無し,109.123,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:47,2021-03-17 11:15,注文無し,109.134,0,109.012,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:47,2021-03-17 11:30,買い注文,109.139,0,109.13799999999999,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:48,2021-03-17 11:45,売り注文,109.13,1,109.147,109.129,109.16000000000001
2021/04/10/ 12:02:48,2021-03-17 12:00,注文無し,109.129,1,109.147,109.129,109.16000000000001
2021/04/10/ 12:02:48,2021-03-17 12:15,売り注文,109.104,1,109.11900000000001,motikosi,109.13200000000002
2021/04/10/ 12:02:48,2021-03-17 12:30,売り注文,109.102,1,109.095,motikosi,109.108
2021/04/10/ 12:02:48,2021-03-17 12:45,売り注文,109.084,1,109.081,motikosi,109.09400000000001
2021/04/10/ 12:02:48,2021-03-17 13:00,売り注文,109.07,1,109.072,109.054,109.08500000000001
2021/04/10/ 12:02:48,2021-03-17 13:15,買い注文,109.072,1,109.086,109.104,109.073
2021/04/10/ 12:02:48,2021-03-17 13:30,買い注文,109.086,1,109.09299999999999,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:49,2021-03-17 13:45,買い注文,109.087,1,109.088,109.106,109.07499999999999
2021/04/10/ 12:02:49,2021-03-17 14:00,買い注文,109.092,1,109.098,109.116,109.085
2021/04/10/ 12:02:49,2021-03-17 14:15,売り注文,109.089,0,109.087,109.069,109.10000000000001
2021/04/10/ 12:02:49,2021-03-17 14:30,注文無し,109.096,0,109.087,109.069,109.10000000000001
2021/04/10/ 12:02:49,2021-03-17 14:45,買い注文,109.109,0,109.126,109.144,109.113
2021/04/10/ 12:02:49,2021-03-17 15:00,注文無し,109.13,0,109.126,109.144,109.113
2021/04/10/ 12:02:49,2021-03-17 15:15,注文無し,109.133,0,109.126,109.144,109.113
2021/04/10/ 12:02:50,2021-03-17 15:30,買い注文,109.162,1,109.17399999999999,109.192,109.16099999999999
2021/04/10/ 12:02:50,2021-03-17 15:45,買い注文,109.163,1,109.13799999999999,109.15599999999999,109.12499999999999
2021/04/10/ 12:02:50,2021-03-17 16:00,売り注文,109.115,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:50,2021-03-17 16:15,注文無し,109.089,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:50,2021-03-17 16:30,注文無し,109.1,0,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:50,2021-03-17 16:45,注文無し,109.112,0,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:50,2021-03-17 17:00,注文無し,109.141,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:51,2021-03-17 17:15,注文無し,109.136,0,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:51,2021-03-17 17:30,注文無し,109.132,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:51,2021-03-17 17:45,注文無し,109.147,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:51,2021-03-17 18:00,注文無し,109.135,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:51,2021-03-17 18:15,注文無し,109.129,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:51,2021-03-17 18:30,注文無し,109.117,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:51,2021-03-17 18:45,注文無し,109.126,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:52,2021-03-17 19:00,注文無し,109.107,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:52,2021-03-17 19:15,注文無し,109.082,1,109.093,109.056,109.10600000000001
2021/04/10/ 12:02:52,2021-03-17 19:30,売り注文,109.076,1,109.091,109.073,109.104
2021/04/10/ 12:02:52,2021-03-17 19:45,買い注文,109.086,1,109.08,109.098,109.067
2021/04/10/ 12:02:52,2021-03-17 20:00,注文無し,109.061,1,109.08,109.098,109.067
2021/04/10/ 12:02:52,2021-03-17 20:15,注文無し,109.037,0,109.08,109.098,109.067
2021/04/10/ 12:02:52,2021-03-17 20:30,注文無し,109.068,0,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 20:45,注文無し,109.126,0,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 21:00,注文無し,109.177,0,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 21:15,注文無し,109.187,0,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 21:30,注文無し,109.179,0,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 21:45,注文無し,109.181,0,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 22:00,注文無し,109.2,0,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 22:15,注文無し,109.215,1,109.08,109.098,109.067
2021/04/10/ 12:02:53,2021-03-17 22:30,注文無し,109.176,1,109.08,109.098,109.067
2021/04/10/ 12:02:54,2021-03-17 22:45,注文無し,109.161,1,109.08,109.098,109.067
2021/04/10/ 12:02:54,2021-03-17 23:00,注文無し,109.158,1,109.08,109.098,109.067
2021/04/10/ 12:02:54,2021-03-17 23:15,注文無し,109.153,0,109.08,109.098,109.067
2021/04/10/ 12:02:54,2021-03-17 23:30,注文無し,109.151,1,109.08,109.098,109.067
2021/04/10/ 12:02:54,2021-03-17 23:45,買い注文,109.18,1,109.184,109.202,109.17099999999999
2021/04/10/ 12:02:54,2021-03-18 00:00,売り注文,109.155,0,109.143,109.125,109.156
2021/04/10/ 12:02:54,2021-03-18 00:15,売り注文,109.152,0,109.193,109.175,109.206
2021/04/10/ 12:02:55,2021-03-18 00:30,買い注文,109.189,0,109.22099999999999,109.18399999999998,109.234
2021/04/10/ 12:02:55,2021-03-18 00:45,買い注文,109.204,0,109.23200000000001,109.25000000000001,109.21900000000001
2021/04/10/ 12:02:55,2021-03-18 01:00,注文無し,109.219,0,109.23200000000001,109.25000000000001,109.21900000000001
2021/04/10/ 12:02:55,2021-03-18 01:15,買い注文,109.241,1,109.256,109.274,109.243
2021/04/10/ 12:02:55,2021-03-18 01:30,売り注文,109.226,0,109.217,109.199,109.23
2021/04/10/ 12:02:55,2021-03-18 01:45,買い注文,109.24,0,109.302,109.32000000000001,109.289
2021/04/10/ 12:02:55,2021-03-18 02:00,買い注文,109.286,1,109.31,109.328,109.297
2021/04/10/ 12:02:55,2021-03-18 02:15,売り注文,109.272,1,109.247,109.229,109.26
2021/04/10/ 12:02:56,2021-03-18 02:30,売り注文,109.226,1,109.241,109.223,109.254
2021/04/10/ 12:02:56,2021-03-18 02:45,買い注文,109.234,1,109.256,109.274,109.243
2021/04/10/ 12:02:56,2021-03-18 03:00,買い注文,109.245,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:56,2021-03-18 03:15,注文無し,109.242,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:56,2021-03-18 03:30,注文無し,109.249,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:56,2021-03-18 03:45,注文無し,109.174,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:56,2021-03-18 04:00,注文無し,108.986,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:57,2021-03-18 04:15,注文無し,108.947,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:57,2021-03-18 04:30,注文無し,108.828,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:57,2021-03-18 04:45,注文無し,108.831,1,109.255,109.21799999999999,109.268
2021/04/10/ 12:02:57,2021-03-18 05:00,買い注文,108.845,1,108.835,108.853,108.82199999999999
2021/04/10/ 12:02:57,2021-03-18 05:15,売り注文,108.795,1,108.843,108.825,108.85600000000001
2021/04/10/ 12:02:57,2021-03-18 05:30,買い注文,108.834,1,108.882,108.9,108.869
2021/04/10/ 12:02:57,2021-03-18 05:45,買い注文,108.857,1,108.875,108.893,108.862
2021/04/10/ 12:02:58,2021-03-18 06:00,売り注文,108.849,1,108.86099999999999,108.84299999999999,108.874
2021/04/10/ 12:02:58,2021-03-18 06:15,売り注文,108.834,0,108.841,108.823,108.854
2021/04/10/ 12:02:58,2021-03-18 06:30,売り注文,108.819,0,108.83800000000001,108.82000000000001,108.85100000000001
2021/04/10/ 12:02:58,2021-03-18 06:45,買い注文,108.839,0,108.88799999999999,108.925,108.87499999999999
2021/04/10/ 12:02:58,2021-03-18 07:00,買い注文,108.856,0,108.868,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:58,2021-03-18 07:15,売り注文,108.844,0,108.871,motikosi,108.884
2021/04/10/ 12:02:58,2021-03-18 07:30,売り注文,108.842,1,108.86,108.842,108.873
2021/04/10/ 12:02:58,2021-03-18 07:45,売り注文,108.829,1,108.804,108.84100000000001,108.791
2021/04/10/ 12:02:59,2021-03-18 08:00,売り注文,108.774,0,108.701,108.68299999999999,108.714
2021/04/10/ 12:02:59,2021-03-18 08:15,売り注文,108.724,0,108.786,108.82300000000001,108.773
2021/04/10/ 12:02:59,2021-03-18 08:30,買い注文,108.787,0,108.859,108.877,108.84599999999999
2021/04/10/ 12:02:59,2021-03-18 08:45,買い注文,108.831,0,108.86,108.878,108.847
2021/04/10/ 12:02:59,2021-03-18 09:00,買い注文,108.838,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:02:59,2021-03-18 09:15,注文無し,108.832,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:02:59,2021-03-18 09:30,注文無し,108.859,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:03:00,2021-03-18 09:45,注文無し,108.908,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:03:00,2021-03-18 10:00,注文無し,108.904,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:03:00,2021-03-18 10:15,注文無し,108.915,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:03:00,2021-03-18 10:30,注文無し,108.926,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:03:00,2021-03-18 10:45,注文無し,108.974,0,108.84100000000001,108.85900000000001,108.828
2021/04/10/ 12:03:00,2021-03-18 11:00,買い注文,109.032,0,109.079,109.097,109.06599999999999
2021/04/10/ 12:03:01,2021-03-18 11:15,注文無し,109.079,0,109.079,109.097,109.06599999999999
2021/04/10/ 12:03:01,2021-03-18 11:30,売り注文,109.071,0,109.05900000000001,109.04100000000001,109.07200000000002
2021/04/10/ 12:03:01,2021-03-18 11:45,売り注文,109.055,0,109.076,109.05799999999999,109.089
2021/04/10/ 12:03:01,2021-03-18 12:00,売り注文,109.054,0,109.05499999999999,109.03699999999999,109.068
2021/04/10/ 12:03:01,2021-03-18 12:15,注文無し,109.04,0,109.05499999999999,109.03699999999999,109.068
2021/04/10/ 12:03:01,2021-03-18 12:30,注文無し,109.046,1,109.05499999999999,109.03699999999999,109.068
2021/04/10/ 12:03:01,2021-03-18 12:45,注文無し,108.972,1,109.05499999999999,109.03699999999999,109.068
2021/04/10/ 12:03:01,2021-03-18 13:00,売り注文,108.762,1,108.746,108.728,108.759
2021/04/10/ 12:03:02,2021-03-18 13:15,注文無し,108.75,1,108.746,108.728,108.759
2021/04/10/ 12:03:02,2021-03-18 13:30,買い注文,108.805,0,108.87,108.888,108.857
2021/04/10/ 12:03:02,2021-03-18 13:45,買い注文,108.902,0,108.978,108.996,108.96499999999999
2021/04/10/ 12:03:02,2021-03-18 14:00,買い注文,108.96,0,108.978,108.996,108.96499999999999
2021/04/10/ 12:03:02,2021-03-18 14:15,売り注文,108.949,1,108.947,108.929,108.96000000000001
2021/04/10/ 12:03:02,2021-03-18 14:30,売り注文,108.917,0,108.91900000000001,108.90100000000001,108.93200000000002
2021/04/10/ 12:03:02,2021-03-18 14:45,売り注文,108.9,1,108.929,108.911,108.94200000000001
2021/04/10/ 12:03:03,2021-03-18 15:00,売り注文,108.886,1,108.867,108.849,108.88000000000001
2021/04/10/ 12:03:03,2021-03-18 15:15,売り注文,108.835,1,108.873,108.855,108.88600000000001
2021/04/10/ 12:03:03,2021-03-18 15:30,買い注文,108.839,1,108.869,108.887,108.856
2021/04/10/ 12:03:03,2021-03-18 15:45,買い注文,108.848,1,108.881,108.899,108.868
2021/04/10/ 12:03:03,2021-03-18 16:00,買い注文,108.856,1,108.885,108.903,108.872
2021/04/10/ 12:03:03,2021-03-18 16:15,買い注文,108.865,1,108.87200000000001,108.89000000000001,108.85900000000001
2021/04/10/ 12:03:03,2021-03-18 16:30,注文無し,108.819,1,108.87200000000001,108.89000000000001,108.85900000000001
2021/04/10/ 12:03:04,2021-03-18 16:45,注文無し,108.825,0,108.87200000000001,108.89000000000001,108.85900000000001
2021/04/10/ 12:03:04,2021-03-18 17:00,注文無し,108.962,0,108.87200000000001,108.89000000000001,108.85900000000001
2021/04/10/ 12:03:04,2021-03-18 17:15,注文無し,109.148,0,108.87200000000001,108.89000000000001,108.85900000000001
2021/04/10/ 12:03:04,2021-03-18 17:30,買い注文,109.234,0,109.209,109.227,109.196
2021/04/10/ 12:03:04,2021-03-18 17:45,売り注文,109.186,0,109.173,109.155,109.186
2021/04/10/ 12:03:04,2021-03-18 18:00,注文無し,109.15,0,109.173,109.155,109.186
2021/04/10/ 12:03:04,2021-03-18 18:15,注文無し,109.135,1,109.173,109.155,109.186
2021/04/10/ 12:03:05,2021-03-18 18:30,買い注文,109.157,1,109.102,109.12,109.089
2021/04/10/ 12:03:05,2021-03-18 18:45,売り注文,109.083,1,109.065,109.047,109.078
2021/04/10/ 12:03:05,2021-03-18 19:00,注文無し,109.032,1,109.065,109.047,109.078
2021/04/10/ 12:03:05,2021-03-18 19:15,売り注文,109.003,1,108.996,108.978,109.009
2021/04/10/ 12:03:05,2021-03-18 19:30,買い注文,109.005,1,109.03399999999999,109.05199999999999,109.02099999999999
2021/04/10/ 12:03:05,2021-03-18 19:45,買い注文,109.032,1,109.07600000000001,109.09400000000001,109.063
2021/04/10/ 12:03:05,2021-03-18 20:00,買い注文,109.07,1,109.08200000000001,109.10000000000001,109.069
2021/04/10/ 12:03:06,2021-03-18 20:15,売り注文,109.05,1,109.039,109.021,109.052
2021/04/10/ 12:03:06,2021-03-18 20:30,売り注文,109.014,1,109.021,109.003,109.034
2021/04/10/ 12:03:06,2021-03-18 20:45,売り注文,108.994,1,108.991,108.973,109.004
2021/04/10/ 12:03:06,2021-03-18 21:00,買い注文,108.996,0,109.02799999999999,109.04599999999999,109.01499999999999
2021/04/10/ 12:03:06,2021-03-18 21:15,注文無し,109.039,0,109.02799999999999,109.04599999999999,109.01499999999999
2021/04/10/ 12:03:06,2021-03-18 21:30,注文無し,109.051,0,109.02799999999999,109.04599999999999,109.01499999999999
2021/04/10/ 12:03:06,2021-03-18 21:45,注文無し,109.05,1,109.02799999999999,109.04599999999999,109.01499999999999
2021/04/10/ 12:03:07,2021-03-18 22:00,買い注文,109.082,0,109.058,109.021,109.07100000000001
2021/04/10/ 12:03:07,2021-03-18 22:15,注文無し,109.073,0,109.058,109.021,109.07100000000001
2021/04/10/ 12:03:07,2021-03-18 22:30,注文無し,109.09,0,109.058,109.021,109.07100000000001
2021/04/10/ 12:03:07,2021-03-18 22:45,注文無し,109.135,0,109.058,109.021,109.07100000000001
2021/04/10/ 12:03:07,2021-03-18 23:00,買い注文,109.183,0,109.214,109.232,109.201
2021/04/10/ 12:03:07,2021-03-18 23:15,注文無し,109.183,0,109.214,109.232,109.201
