現在時刻,予測時刻,オーダー,予測値,MACD_judge,現在価格,tp,sl
2021/04/10/ 12:01:09,2021-03-16 11:45,買い注文,109.181,1,109.185,109.203,109.172
2021/04/10/ 12:01:10,2021-03-16 12:30,買い注文,109.191,1,109.21499999999999,109.17799999999998,109.228
2021/04/10/ 12:01:10,2021-03-16 13:00,売り注文,109.166,1,109.158,109.14,109.171
2021/04/10/ 12:01:10,2021-03-16 13:15,売り注文,109.145,1,109.153,109.135,109.16600000000001
2021/04/10/ 12:01:10,2021-03-16 13:30,買い注文,109.151,1,109.162,109.18,109.149
2021/04/10/ 12:01:10,2021-03-16 13:45,売り注文,109.14,1,109.14099999999999,109.12299999999999,109.154
2021/04/10/ 12:01:10,2021-03-16 14:00,売り注文,109.134,1,109.151,109.133,109.164
2021/04/10/ 12:01:10,2021-03-16 14:15,買い注文,109.142,0,109.167,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:01:11,2021-03-16 14:30,買い注文,109.156,0,109.175,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:01:11,2021-03-16 14:45,買い注文,109.166,0,109.186,109.20400000000001,109.173
2021/04/10/ 12:01:11,2021-03-16 15:00,注文無し,109.166,0,109.177,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:01:11,2021-03-16 15:30,注文無し,109.162,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:01:13,2021-03-16 19:30,買い注文,109.176,1,109.196,109.214,109.18299999999999
2021/04/10/ 12:01:13,2021-03-16 20:00,売り注文,109.184,1,109.188,109.17,109.20100000000001
2021/04/10/ 12:02:35,2021-03-16 11:30,注文無し,109.172,1,0,0,0
2021/04/10/ 12:02:35,2021-03-16 11:45,買い注文,109.181,1,109.185,109.203,109.172
2021/04/10/ 12:02:35,2021-03-16 12:00,注文無し,109.179,1,109.185,109.203,109.172
2021/04/10/ 12:02:35,2021-03-16 12:15,注文無し,109.18,0,109.185,109.203,109.172
2021/04/10/ 12:02:35,2021-03-16 12:30,買い注文,109.191,1,109.21499999999999,109.17799999999998,109.228
2021/04/10/ 12:02:35,2021-03-16 12:45,注文無し,109.198,1,109.21499999999999,109.17799999999998,109.228
2021/04/10/ 12:02:35,2021-03-16 13:00,売り注文,109.166,1,109.158,109.14,109.171
2021/04/10/ 12:02:35,2021-03-16 13:15,売り注文,109.145,1,109.153,109.135,109.16600000000001
2021/04/10/ 12:02:36,2021-03-16 13:30,買い注文,109.151,1,109.162,109.18,109.149
2021/04/10/ 12:02:36,2021-03-16 13:45,売り注文,109.14,1,109.14099999999999,109.12299999999999,109.154
2021/04/10/ 12:02:36,2021-03-16 14:00,売り注文,109.134,1,109.151,109.133,109.164
2021/04/10/ 12:02:36,2021-03-16 14:15,買い注文,109.142,0,109.167,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:36,2021-03-16 14:30,買い注文,109.156,0,109.175,ポジション持ち越し,ポジション持ち越し
2021/04/10/ 12:02:36,2021-03-16 14:45,買い注文,109.166,0,109.186,109.20400000000001,109.173
2021/04/10/ 12:02:36,2021-03-16 15:00,注文無し,109.166,0,109.177,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:36,2021-03-16 15:15,注文無し,109.162,0,109.177,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:37,2021-03-16 15:30,注文無し,109.162,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:37,2021-03-16 15:45,注文無し,109.165,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:37,2021-03-16 16:00,注文無し,109.154,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:37,2021-03-16 16:15,注文無し,109.134,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:37,2021-03-16 16:30,注文無し,109.143,0,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:37,2021-03-16 16:45,注文無し,109.167,0,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:37,2021-03-16 17:00,注文無し,109.183,0,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:38,2021-03-16 17:15,注文無し,109.203,0,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:38,2021-03-16 17:30,注文無し,109.23,0,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:38,2021-03-16 17:45,注文無し,109.238,0,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:38,2021-03-16 18:00,注文無し,109.203,0,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:38,2021-03-16 18:15,注文無し,109.208,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:38,2021-03-16 18:30,注文無し,109.219,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:38,2021-03-16 18:45,注文無し,109.209,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/04/10/ 12:02:39,2021-03-16 19:00,注文無し,109.191,1,109.175,予測値が同じためオーダーしない,予測値が同じためオーダーしない
