åªç›éûçè,ó\ë™éûçè,ÉIÅ[É_Å[,ó\ë™íl,MACD_judge,åªç›âøäi,tp,sl
2021/03/30/ 17:49:18,2021-03-30 17:40,íçï∂ñ≥Çµ,108.952,0,0,0,0
2021/03/30/ 18:02:13,2021-03-30 18:15,íçï∂ñ≥Çµ,110.167,1,0,0,0
2021/03/30/ 18:10:42,2021-03-30 18:15,íçï∂ñ≥Çµ,110.167,1,0,0,0
2021/03/30/ 18:15:00,2021-03-30 18:15,íçï∂ñ≥Çµ,110.167,1,0,0,0
2021/03/30/ 18:20:01,2021-03-30 18:30,îÑÇËíçï∂(ã…è≠),110.166,1,110.237,110.207,110.28699999999999
2021/03/30/ 18:25:00,2021-03-30 18:30,íçï∂ñ≥Çµ,110.166,1,110.237,110.207,110.28699999999999
2021/03/30/ 18:30:00,2021-03-30 18:30,íçï∂ñ≥Çµ,110.166,1,110.237,110.207,110.28699999999999
2021/03/30/ 18:35:01,2021-03-30 18:45,îÑÇËíçï∂(è≠),110.1,1,110.267,110.237,110.317
2021/03/30/ 18:40:00,2021-03-30 18:45,íçï∂ñ≥Çµ,110.1,1,110.267,110.237,110.317
2021/03/30/ 18:45:00,2021-03-30 18:45,íçï∂ñ≥Çµ,110.1,1,110.267,110.237,110.317
2021/03/30/ 18:50:00,2021-03-30 19:00,íçï∂ñ≥Çµ,110.12,1,110.267,110.237,110.317
2021/03/30/ 18:55:00,2021-03-30 19:00,íçï∂ñ≥Çµ,110.12,1,110.267,110.237,110.317
2021/03/30/ 19:00:00,2021-03-30 19:00,íçï∂ñ≥Çµ,110.12,1,110.267,110.237,110.317
2021/03/30/ 19:05:00,2021-03-30 19:15,íçï∂ñ≥Çµ,110.14,1,110.267,110.237,110.317
2021/03/30/ 19:10:00,2021-03-30 19:15,íçï∂ñ≥Çµ,110.14,1,110.267,110.237,110.317
2021/03/30/ 19:15:00,2021-03-30 19:15,íçï∂ñ≥Çµ,110.14,1,110.267,110.237,110.317
2021/03/30/ 19:20:01,2021-03-30 19:30,îÑÇËíçï∂(ã…è≠),110.137,1,110.283,110.253,110.333
2021/03/30/ 19:25:01,2021-03-30 19:30,íçï∂ñ≥Çµ,110.137,1,110.283,110.253,110.333
2021/03/30/ 19:30:01,2021-03-30 19:30,íçï∂ñ≥Çµ,110.137,1,110.283,110.253,110.333
2021/03/30/ 19:35:00,2021-03-30 19:45,îÑÇËíçï∂(è≠),110.07,1,110.279,110.249,110.329
2021/03/30/ 19:40:00,2021-03-30 19:45,íçï∂ñ≥Çµ,110.07,1,110.279,110.249,110.329
2021/03/30/ 19:45:00,2021-03-30 19:45,íçï∂ñ≥Çµ,110.07,1,110.279,110.249,110.329
2021/03/30/ 19:50:00,2021-03-30 20:00,îÉÇ¢íçï∂(è≠),110.102,0,110.363,110.393,110.313
2021/03/30/ 19:55:00,2021-03-30 20:00,íçï∂ñ≥Çµ,110.102,0,110.363,110.393,110.313
2021/03/30/ 20:00:00,2021-03-30 20:00,íçï∂ñ≥Çµ,110.102,0,110.363,110.393,110.313
2021/03/30/ 20:05:00,2021-03-30 20:15,îÉÇ¢íçï∂(è≠),110.145,0,110.379,110.35900000000001,110.429
2021/03/30/ 20:10:00,2021-03-30 20:15,íçï∂ñ≥Çµ,110.145,0,110.379,110.35900000000001,110.429
2021/03/30/ 20:15:00,2021-03-30 20:15,íçï∂ñ≥Çµ,110.145,0,110.379,110.35900000000001,110.429
2021/03/30/ 20:20:00,2021-03-30 20:30,íçï∂ñ≥Çµ,110.189,1,110.379,110.35900000000001,110.429
2021/03/30/ 20:25:00,2021-03-30 20:30,íçï∂ñ≥Çµ,110.189,1,110.379,110.35900000000001,110.429
2021/03/30/ 20:35:00,2021-03-30 20:45,îÑÇËíçï∂(è≠),110.128,1,110.356,110.336,110.40599999999999
2021/03/30/ 20:40:00,2021-03-30 20:45,íçï∂ñ≥Çµ,110.128,1,110.356,110.336,110.40599999999999
2021/03/30/ 20:45:00,2021-03-30 20:45,íçï∂ñ≥Çµ,110.128,1,110.356,110.336,110.40599999999999
2021/03/30/ 20:50:01,2021-03-30 21:00,íçï∂ñ≥Çµ,110.142,1,110.356,110.336,110.40599999999999
2021/03/30/ 20:55:00,2021-03-30 21:00,íçï∂ñ≥Çµ,110.142,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:00:00,2021-03-30 21:00,íçï∂ñ≥Çµ,110.142,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:05:00,2021-03-30 21:15,íçï∂ñ≥Çµ,110.164,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:10:00,2021-03-30 21:15,íçï∂ñ≥Çµ,110.164,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:15:01,2021-03-30 21:15,íçï∂ñ≥Çµ,110.164,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:20:00,2021-03-30 21:30,íçï∂ñ≥Çµ,110.166,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:25:01,2021-03-30 21:30,íçï∂ñ≥Çµ,110.166,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:30:01,2021-03-30 21:30,íçï∂ñ≥Çµ,110.166,1,110.356,110.336,110.40599999999999
2021/03/30/ 21:31:04,2021-03-30 21:45,íçï∂ñ≥Çµ,110.095,1,0,0,0
2021/03/30/ 21:45:01,2021-03-30 21:45,íçï∂ñ≥Çµ,110.095,1,0,0,0
2021/03/30/ 21:50:00,2021-03-30 22:00,íçï∂ñ≥Çµ,110.114,1,0,0,0
2021/03/30/ 21:55:01,2021-03-30 22:00,íçï∂ñ≥Çµ,110.114,1,0,0,0
2021/03/30/ 22:00:00,2021-03-30 22:00,íçï∂ñ≥Çµ,110.114,1,0,0,0
2021/03/30/ 22:05:01,2021-03-30 22:15,íçï∂ñ≥Çµ,110.144,1,0,0,0
2021/03/30/ 22:10:01,2021-03-30 22:15,íçï∂ñ≥Çµ,110.144,1,0,0,0
2021/03/30/ 22:15:00,2021-03-30 22:15,íçï∂ñ≥Çµ,110.144,1,0,0,0
2021/03/30/ 22:20:01,2021-03-30 22:30,íçï∂ñ≥Çµ,110.145,1,0,0,0
2021/03/30/ 22:25:01,2021-03-30 22:30,íçï∂ñ≥Çµ,110.145,1,0,0,0
2021/03/30/ 22:30:01,2021-03-30 22:30,íçï∂ñ≥Çµ,110.145,1,0,0,0
2021/03/30/ 22:35:01,2021-03-30 22:45,îÑÇËíçï∂(è≠),110.077,1,110.366,110.326,110.466
2021/03/30/ 22:40:01,2021-03-30 22:45,íçï∂ñ≥Çµ,110.077,1,110.366,110.326,110.466
2021/03/30/ 22:45:01,2021-03-30 22:45,íçï∂ñ≥Çµ,110.077,1,110.366,110.326,110.466
2021/03/30/ 22:50:01,2021-03-30 23:00,îÉÇ¢íçï∂(è≠),110.104,0,110.403,110.44300000000001,110.30300000000001
2021/03/30/ 22:55:01,2021-03-30 23:00,íçï∂ñ≥Çµ,110.104,0,110.403,110.44300000000001,110.30300000000001
2021/03/30/ 23:00:00,2021-03-30 23:00,íçï∂ñ≥Çµ,110.104,0,110.403,110.44300000000001,110.30300000000001
2021/03/30/ 23:05:00,2021-03-30 23:15,íçï∂ñ≥Çµ,110.158,1,110.403,110.44300000000001,110.30300000000001
2021/03/30/ 23:10:00,2021-03-30 23:15,íçï∂ñ≥Çµ,110.158,1,110.403,110.44300000000001,110.30300000000001
2021/03/30/ 23:15:01,2021-03-30 23:15,íçï∂ñ≥Çµ,110.158,1,110.403,110.44300000000001,110.30300000000001
2021/03/30/ 23:20:00,2021-03-30 23:30,îÉÇ¢íçï∂(ã…è≠),110.176,0,110.381,110.421,110.281
2021/03/30/ 23:25:00,2021-03-30 23:30,íçï∂ñ≥Çµ,110.176,0,110.381,110.421,110.281
2021/03/30/ 23:30:00,2021-03-30 23:30,íçï∂ñ≥Çµ,110.176,0,110.381,110.421,110.281
2021/03/30/ 23:35:00,2021-03-30 23:45,îÑÇËíçï∂(è≠),110.127,1,110.352,110.312,110.452
2021/03/30/ 23:40:01,2021-03-30 23:45,íçï∂ñ≥Çµ,110.127,1,110.352,110.312,110.452
2021/03/30/ 23:45:01,2021-03-30 23:45,íçï∂ñ≥Çµ,110.127,1,110.352,110.312,110.452
2021/03/30/ 23:50:01,2021-03-31 00:00,íçï∂ñ≥Çµ,110.158,1,110.352,110.312,110.452
2021/03/30/ 23:55:01,2021-03-31 00:00,íçï∂ñ≥Çµ,110.158,1,110.352,110.312,110.452
