現在時刻,予測時刻,オーダー,予測値,MACD_judge,現在価格,tp,sl
2021/03/28/ 12:28:54,2021-03-25 09:20,買い注文(極少),108.55,0,108.824,108.841,108.81099999999999
2021/03/28/ 12:28:54,2021-03-25 09:25,注文無し,108.543,0,108.85400000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:54,2021-03-25 09:30,注文無し,108.535,0,108.857,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:55,2021-03-25 09:35,買い注文(極少),108.544,0,108.85799999999999,108.87499999999999,108.84499999999998
2021/03/28/ 12:28:55,2021-03-25 09:40,注文無し,108.544,0,108.845,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:55,2021-03-25 09:45,注文無し,108.545,1,108.849,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:55,2021-03-25 09:50,注文無し,108.538,0,108.833,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:55,2021-03-25 09:55,売り注文(極少),108.532,1,108.849,motikosi,108.86200000000001
2021/03/28/ 12:28:55,2021-03-25 10:00,買い注文(少),108.579,0,108.84,108.857,108.827
2021/03/28/ 12:28:55,2021-03-25 10:05,注文無し,108.554,0,108.867,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:55,2021-03-25 10:10,注文無し,108.535,0,108.877,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:55,2021-03-25 10:15,買い注文(極少),108.551,0,108.88600000000001,108.903,108.873
2021/03/28/ 12:28:56,2021-03-25 10:20,買い注文(少),108.577,0,108.932,108.949,108.919
2021/03/28/ 12:28:56,2021-03-25 10:25,注文無し,108.554,0,108.941,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:56,2021-03-25 10:30,注文無し,108.539,0,108.925,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:56,2021-03-25 10:35,売り注文(極少),108.533,1,108.93499999999999,motikosi,108.948
2021/03/28/ 12:28:56,2021-03-25 10:40,買い注文(少),108.588,0,108.93,108.947,108.917
2021/03/28/ 12:28:56,2021-03-25 10:45,注文無し,108.579,0,108.947,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:56,2021-03-25 10:50,売り注文(極少),108.564,1,108.953,motikosi,108.96600000000001
2021/03/28/ 12:28:56,2021-03-25 10:55,売り注文(少),108.541,1,108.94900000000001,108.93200000000002,108.96200000000002
2021/03/28/ 12:28:57,2021-03-25 11:00,注文無し,108.544,1,108.93499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:57,2021-03-25 11:05,売り注文(極少),108.542,1,108.932,motikosi,108.94500000000001
2021/03/28/ 12:28:57,2021-03-25 11:10,買い注文(極少),108.553,0,108.92200000000001,108.93900000000001,108.909
2021/03/28/ 12:28:57,2021-03-25 11:15,注文無し,108.603,1,108.977,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:57,2021-03-25 11:20,売り注文(少),108.561,1,108.943,108.926,108.956
2021/03/28/ 12:28:57,2021-03-25 11:25,売り注文(少),108.537,1,108.959,motikosi,108.97200000000001
2021/03/28/ 12:28:57,2021-03-25 11:30,注文無し,108.547,1,108.944,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:57,2021-03-25 11:35,注文無し,108.583,1,108.93900000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:57,2021-03-25 11:40,売り注文(少),108.537,1,108.937,108.92,108.95
2021/03/28/ 12:28:58,2021-03-25 11:45,売り注文(極少),108.526,1,108.933,108.91600000000001,108.94600000000001
2021/03/28/ 12:28:58,2021-03-25 11:50,注文無し,108.532,1,108.945,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:58,2021-03-25 11:55,注文無し,108.534,1,108.94900000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:58,2021-03-25 12:00,売り注文(極少),108.533,1,108.941,motikosi,108.95400000000001
2021/03/28/ 12:28:58,2021-03-25 12:05,注文無し,108.533,1,108.933,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:58,2021-03-25 12:10,注文無し,108.536,1,108.909,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:58,2021-03-25 12:15,売り注文(極少),108.518,1,108.895,motikosi,108.908
2021/03/28/ 12:28:58,2021-03-25 12:20,売り注文(極少),108.514,1,108.884,motikosi,108.897
2021/03/28/ 12:28:59,2021-03-25 12:25,注文無し,108.519,1,108.87499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:59,2021-03-25 12:30,売り注文(極少),108.515,1,108.877,108.86,108.89
2021/03/28/ 12:28:59,2021-03-25 12:35,注文無し,108.531,1,108.901,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:59,2021-03-25 12:40,売り注文(極少),108.518,1,108.899,motikosi,108.912
2021/03/28/ 12:28:59,2021-03-25 12:45,注文無し,108.52,1,108.88499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:28:59,2021-03-25 12:50,買い注文(極少),108.523,0,108.9,ポジション持ち越し,ポジション持ち越し
2021/03/28/ 12:28:59,2021-03-25 12:55,買い注文(極少),108.526,0,108.90799999999999,108.92499999999998,108.89499999999998
2021/03/28/ 12:28:59,2021-03-25 13:00,買い注文(極少),108.53,0,108.904,108.92099999999999,108.89099999999999
2021/03/28/ 12:29:00,2021-03-25 13:05,注文無し,108.533,1,108.92099999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:00,2021-03-25 13:10,注文無し,108.519,0,108.897,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:00,2021-03-25 13:15,買い注文(極少),108.521,0,108.925,ポジション持ち越し,ポジション持ち越し
2021/03/28/ 12:29:00,2021-03-25 13:20,買い注文(極少),108.53,0,108.935,108.952,108.922
2021/03/28/ 12:29:00,2021-03-25 13:25,買い注文(極少),108.534,0,108.964,108.981,108.951
2021/03/28/ 12:29:00,2021-03-25 13:30,買い注文(極少),108.538,0,108.977,108.994,108.964
2021/03/28/ 12:29:00,2021-03-25 13:35,買い注文(極少),108.539,0,108.95299999999999,ポジション持ち越し,ポジション持ち越し
2021/03/28/ 12:29:00,2021-03-25 13:40,売り注文(極少),108.536,1,108.952,motikosi,108.965
2021/03/28/ 12:29:01,2021-03-25 13:45,売り注文(極少),108.526,1,108.93900000000001,motikosi,108.95200000000001
2021/03/28/ 12:29:01,2021-03-25 13:50,注文無し,108.529,1,108.929,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:01,2021-03-25 13:55,売り注文(極少),108.528,1,108.931,motikosi,108.944
2021/03/28/ 12:29:01,2021-03-25 14:00,注文無し,108.529,1,108.94,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:01,2021-03-25 14:05,注文無し,108.532,1,108.924,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:01,2021-03-25 14:10,注文無し,108.517,0,108.918,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:01,2021-03-25 14:15,買い注文(極少),108.52,0,108.941,108.958,108.928
2021/03/28/ 12:29:01,2021-03-25 14:20,売り注文(極少),108.519,1,108.956,108.93900000000001,108.96900000000001
2021/03/28/ 12:29:02,2021-03-25 14:25,注文無し,108.52,1,108.937,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:02,2021-03-25 14:30,注文無し,108.52,1,108.933,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:02,2021-03-25 14:35,注文無し,108.521,1,108.94,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:02,2021-03-25 14:40,注文無し,108.523,1,108.938,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/28/ 12:29:02,2021-03-25 14:45,買い注文(極少),108.525,0,108.936,108.953,108.923
2021/03/28/ 12:29:02,2021-03-25 14:50,買い注文(極少),108.526,0,108.95299999999999,ポジション持ち越し,ポジション持ち越し
