åªç›éûçè,ó\ë™éûçè,ÉIÅ[É_Å[,ó\ë™íl,MACD_judge,åªç›âøäi,tp,sl
2021/03/31/ 00:00:00,2021-03-31 00:00,íçï∂ñ≥Çµ,110.158,1,110.352,110.312,110.452
2021/03/31/ 00:05:00,2021-03-31 00:15,îÑÇËíçï∂(ã…è≠),110.149,1,110.285,110.24499999999999,110.38499999999999
2021/03/31/ 00:10:01,2021-03-31 00:15,íçï∂ñ≥Çµ,110.149,1,110.285,110.24499999999999,110.38499999999999
2021/03/31/ 00:15:00,2021-03-31 00:15,íçï∂ñ≥Çµ,110.149,1,110.285,110.24499999999999,110.38499999999999
2021/03/31/ 00:20:00,2021-03-31 00:30,íçï∂ñ≥Çµ,110.151,1,110.285,110.24499999999999,110.38499999999999
2021/03/31/ 00:25:00,2021-03-31 00:30,íçï∂ñ≥Çµ,110.151,1,110.285,110.24499999999999,110.38499999999999
2021/03/31/ 00:30:00,2021-03-31 00:30,íçï∂ñ≥Çµ,110.151,1,110.285,110.24499999999999,110.38499999999999
2021/03/31/ 00:35:00,2021-03-31 00:45,îÑÇËíçï∂(è≠),110.076,1,110.286,110.246,110.386
2021/03/31/ 00:40:00,2021-03-31 00:45,íçï∂ñ≥Çµ,110.076,1,110.286,110.246,110.386
2021/03/31/ 00:45:00,2021-03-31 00:45,íçï∂ñ≥Çµ,110.076,1,110.286,110.246,110.386
2021/03/31/ 00:50:00,2021-03-31 01:00,îÑÇËíçï∂(ã…è≠),110.073,1,110.214,110.17399999999999,110.314
2021/03/31/ 00:55:00,2021-03-31 01:00,íçï∂ñ≥Çµ,110.073,1,110.214,110.17399999999999,110.314
2021/03/31/ 01:00:00,2021-03-31 01:00,íçï∂ñ≥Çµ,110.073,1,110.214,110.17399999999999,110.314
2021/03/31/ 01:05:00,2021-03-31 01:15,íçï∂ñ≥Çµ,110.082,1,110.214,110.17399999999999,110.314
2021/03/31/ 01:10:00,2021-03-31 01:15,íçï∂ñ≥Çµ,110.082,1,110.214,110.17399999999999,110.314
2021/03/31/ 01:15:01,2021-03-31 01:15,íçï∂ñ≥Çµ,110.082,1,110.214,110.17399999999999,110.314
2021/03/31/ 01:20:01,2021-03-31 01:30,îÑÇËíçï∂(ã…è≠),110.064,1,110.263,110.223,110.363
2021/03/31/ 01:25:00,2021-03-31 01:30,íçï∂ñ≥Çµ,110.064,1,110.263,110.223,110.363
2021/03/31/ 01:30:00,2021-03-31 01:30,íçï∂ñ≥Çµ,110.064,1,110.263,110.223,110.363
2021/03/31/ 01:35:00,2021-03-31 01:45,îÑÇËíçï∂(è≠),110.006,1,110.294,110.25399999999999,110.39399999999999
2021/03/31/ 01:40:01,2021-03-31 01:45,íçï∂ñ≥Çµ,110.006,1,110.294,110.25399999999999,110.39399999999999
2021/03/31/ 01:45:01,2021-03-31 01:45,íçï∂ñ≥Çµ,110.006,1,110.294,110.25399999999999,110.39399999999999
2021/03/31/ 01:50:01,2021-03-31 02:00,íçï∂ñ≥Çµ,110.055,1,110.294,110.25399999999999,110.39399999999999
2021/03/31/ 01:55:01,2021-03-31 02:00,íçï∂ñ≥Çµ,110.055,1,110.294,110.25399999999999,110.39399999999999
2021/03/31/ 02:00:01,2021-03-31 02:00,íçï∂ñ≥Çµ,110.055,1,110.294,110.25399999999999,110.39399999999999
2021/03/31/ 02:05:01,2021-03-31 02:15,îÉÇ¢íçï∂(ã…è≠),110.067,0,110.26,110.30000000000001,110.16000000000001
2021/03/31/ 02:10:01,2021-03-31 02:15,íçï∂ñ≥Çµ,110.067,0,110.26,110.30000000000001,110.16000000000001
2021/03/31/ 02:15:01,2021-03-31 02:15,íçï∂ñ≥Çµ,110.067,0,110.26,110.30000000000001,110.16000000000001
2021/03/31/ 02:20:01,2021-03-31 02:30,íçï∂ñ≥Çµ,110.086,1,110.26,110.30000000000001,110.16000000000001
2021/03/31/ 02:25:01,2021-03-31 02:30,íçï∂ñ≥Çµ,110.086,1,110.26,110.30000000000001,110.16000000000001
2021/03/31/ 02:30:01,2021-03-31 02:30,íçï∂ñ≥Çµ,110.086,1,110.26,110.30000000000001,110.16000000000001
2021/03/31/ 02:35:01,2021-03-31 02:45,îÑÇËíçï∂(è≠),110.039,1,110.258,110.21799999999999,110.35799999999999
2021/03/31/ 02:40:01,2021-03-31 02:45,íçï∂ñ≥Çµ,110.039,1,110.258,110.21799999999999,110.35799999999999
2021/03/31/ 02:45:01,2021-03-31 02:45,íçï∂ñ≥Çµ,110.039,1,110.258,110.21799999999999,110.35799999999999
2021/03/31/ 02:50:00,2021-03-31 03:00,îÉÇ¢íçï∂(è≠),110.063,0,110.27,110.31,110.17
2021/03/31/ 02:55:00,2021-03-31 03:00,íçï∂ñ≥Çµ,110.063,0,110.27,110.31,110.17
2021/03/31/ 03:00:01,2021-03-31 03:00,íçï∂ñ≥Çµ,110.063,0,110.27,110.31,110.17
2021/03/31/ 03:05:01,2021-03-31 03:15,îÉÇ¢íçï∂(è≠),110.091,0,110.319,110.35900000000001,110.21900000000001
2021/03/31/ 03:10:01,2021-03-31 03:15,íçï∂ñ≥Çµ,110.091,0,110.319,110.35900000000001,110.21900000000001
2021/03/31/ 03:15:01,2021-03-31 03:15,íçï∂ñ≥Çµ,110.091,0,110.319,110.35900000000001,110.21900000000001
2021/03/31/ 03:20:01,2021-03-31 03:30,îÉÇ¢íçï∂(ã…è≠),110.104,0,110.33,110.31,110.42999999999999
2021/03/31/ 03:25:01,2021-03-31 03:30,íçï∂ñ≥Çµ,110.104,0,110.33,110.31,110.42999999999999
2021/03/31/ 03:30:01,2021-03-31 03:30,íçï∂ñ≥Çµ,110.104,0,110.33,110.31,110.42999999999999
2021/03/31/ 03:35:00,2021-03-31 03:45,íçï∂ñ≥Çµ,110.074,0,110.33,110.31,110.42999999999999
2021/03/31/ 03:40:00,2021-03-31 03:45,íçï∂ñ≥Çµ,110.074,0,110.33,110.31,110.42999999999999
2021/03/31/ 03:45:00,2021-03-31 03:45,íçï∂ñ≥Çµ,110.074,0,110.33,110.31,110.42999999999999
2021/03/31/ 03:50:00,2021-03-31 04:00,îÉÇ¢íçï∂(è≠),110.117,0,110.359,110.399,110.259
2021/03/31/ 03:55:00,2021-03-31 04:00,íçï∂ñ≥Çµ,110.117,0,110.359,110.399,110.259
2021/03/31/ 04:00:01,2021-03-31 04:00,íçï∂ñ≥Çµ,110.117,0,110.359,110.399,110.259
2021/03/31/ 04:05:01,2021-03-31 04:15,îÉÇ¢íçï∂(è≠),110.141,0,110.343,110.38300000000001,110.24300000000001
2021/03/31/ 04:10:01,2021-03-31 04:15,íçï∂ñ≥Çµ,110.141,0,110.343,110.38300000000001,110.24300000000001
2021/03/31/ 04:15:01,2021-03-31 04:15,íçï∂ñ≥Çµ,110.141,0,110.343,110.38300000000001,110.24300000000001
2021/03/31/ 04:20:00,2021-03-31 04:30,îÉÇ¢íçï∂(è≠),110.162,0,110.335,110.375,110.235
2021/03/31/ 04:25:00,2021-03-31 04:30,íçï∂ñ≥Çµ,110.162,0,110.335,110.375,110.235
2021/03/31/ 04:30:00,2021-03-31 04:30,íçï∂ñ≥Çµ,110.162,0,110.335,110.375,110.235
2021/03/31/ 04:35:00,2021-03-31 04:45,íçï∂ñ≥Çµ,110.1,0,110.335,110.375,110.235
2021/03/31/ 04:40:00,2021-03-31 04:45,íçï∂ñ≥Çµ,110.1,0,110.335,110.375,110.235
