time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Plot,Plot.1,Oscillator,ATR,CCI,Fisher,Trigger,Plot.2,MACD,Signal Line,Histogram,time(hour),time(minute),time(weekday)
2021-03-22 00:00:00+00:00,108.874,108.889,108.845,108.859,0.015,-0.028999999999999998,0.044000000000000004,178,104.2,49.96612135,0.010703213999999999,0,40.92213608,0.030220458999999998,-107.72031270000001,-0.009461470999999999,0.717181562,1.214141414,0.020863599,0.0284731,-0.007609500999999999,0,0,0
2021-03-22 00:05:00+00:00,108.859,108.867,108.818,108.846,0.008,-0.040999999999999995,0.049,307,115.85,47.05101201,-0.004163571,0,41.13782071,0.031561854,-141.3962635,-0.646395784,-0.009461470999999999,1.214141414,0.016511812,0.027102705,-0.010590893,0,5,0
2021-03-22 00:10:00+00:00,108.846,108.867,108.838,108.852,0.021,-0.008,0.028999999999999998,182,115.95,48.54317004,-0.014214643,0,41.21031585,0.031378865,-106.72129550000001,-1.056637471,-0.646395784,1.214141414,0.013392755,0.025330172999999997,-0.011937418,0,10,0
2021-03-22 00:15:00+00:00,108.852,108.87799999999999,108.851,108.87700000000001,0.026000000000000002,-0.001,0.027000000000000003,189,117.85,54.31961161,-0.021594642999999997,0,45.97433317,0.031066088999999998,-13.5551448,-1.166840928,-1.056637471,1.214141414,0.012790728000000001,0.023404596,-0.010613866999999999,0,15,0
2021-03-22 00:20:00+00:00,108.87700000000001,108.89399999999999,108.87,108.876,0.017,-0.006999999999999999,0.024,144,116.2,54.05820076,-0.027525357,0,46.21921289,0.030561368,-20.82005524,-0.978470993,-1.166840928,1.214141414,0.012093518999999999,0.021265827,-0.009172308,0,20,0
2021-03-22 00:25:00+00:00,108.876,108.882,108.854,108.87700000000001,0.006,-0.022000000000000002,0.027999999999999997,220,120.15,54.29507327,-0.031999286,0,53.07683097,0.030378412999999996,-19.52396622,-0.864753908,-0.978470993,1.214141414,0.011489227,0.018993265,-0.007504038,0,25,0
2021-03-22 00:30:00+00:00,108.87700000000001,108.89399999999999,108.87700000000001,108.883,0.017,0.0,0.017,188,125.35,55.76865012,-0.034324286,0,50.99975743,0.029422812000000003,3.211745809,-0.417623376,-0.864753908,1.214141414,0.01136348,0.016801322,-0.005437841999999999,0,30,0
2021-03-22 00:35:00+00:00,108.883,108.90299999999999,108.87799999999999,108.895,0.02,-0.005,0.025,196,131.75,58.64073497,-0.032061429,0,54.55242977,0.029106897000000003,53.02530253,0.145149888,-0.417623376,1.214141414,0.012092726000000002,0.015043200000000001,-0.0029504740000000002,0,35,0
2021-03-22 00:40:00+00:00,108.895,108.895,108.86399999999999,108.866,0.0,-0.031,0.031,92,129.55,50.16346466,-0.035596071,0,48.27573142,0.029242119,-73.20261438,0.503953089,0.145149888,1.214141414,0.010212874,0.013423413,-0.003210539,0,40,0
2021-03-22 00:45:00+00:00,108.866,108.87200000000001,108.854,108.86200000000001,0.006,-0.012,0.018000000000000002,147,131.6,49.10892306,-0.036472500000000005,0,47.39906927,0.02843911,-81.79699089,0.480062709,0.503953089,1.214141414,0.008304581,0.012027966999999999,-0.003723385,0,45,0
2021-03-22 00:50:00+00:00,108.86200000000001,108.902,108.86,108.89399999999999,0.04,-0.002,0.042,317,144.4,56.912628399999996,-0.030964286,0,49.15681864,0.029407745,49.95904995,0.56636406,0.480062709,1.214141414,0.009267548,0.011223048999999999,-0.001955501,0,50,0
2021-03-22 00:55:00+00:00,108.89399999999999,108.914,108.885,108.90799999999999,0.02,-0.009000000000000001,0.028999999999999998,237,154.5,59.81582856,-0.023795,0,55.55749602,0.029378621,94.90333919,0.889031088,0.56636406,1.214141414,0.011033204,0.010960876000000001,7.23e-05,0,55,0
2021-03-22 01:00:00+00:00,108.90799999999999,108.91799999999999,108.89399999999999,108.9,0.01,-0.013999999999999999,0.024,275,163.7,57.43435712,-0.016481071,0,51.73371006,0.028994432999999997,58.66366788,1.297456988,0.889031088,1.214141414,0.011652643,0.010834422,0.00081822,1,0,0
2021-03-22 01:05:00+00:00,108.9,108.904,108.887,108.902,0.004,-0.013000000000000001,0.017,174,170.4,57.88577912,-0.007636786,0,55.19199056,0.028137687999999998,63.85132026,1.394936475,1.297456988,1.214141414,0.012164708,0.010842332,0.001322375,1,5,0
2021-03-22 01:10:00+00:00,108.902,108.92299999999999,108.89,108.89200000000001,0.021,-0.012,0.033,289,179.65,54.75875132,0.00057,0,48.80121572,0.028484996000000002,30.65134099,1.67970008,1.394936475,1.214141414,0.011629549,0.010857924,0.000771625,1,10,0
2021-03-22 01:15:00+00:00,108.89200000000001,108.914,108.853,108.86200000000001,0.022000000000000002,-0.039,0.061,339,193.1,46.62190979,0.004528214,0,44.78811829,0.030807496,-77.89580172,1.370967566,1.67970008,1.214141414,0.008684571,0.010560267,-0.001875696,1,15,0
2021-03-22 01:20:00+00:00,108.86200000000001,108.874,108.838,108.87,0.012,-0.024,0.036000000000000004,452,210.75,48.80650278,0.008128214,0,50.21743053,0.03117839,-40.144339200000005,0.6812611209999999,1.370967566,1.214141414,0.00691646,0.009985127,-0.003068666,1,20,0
2021-03-22 01:25:00+00:00,108.87,108.885,108.85700000000001,108.863,0.015,-0.013000000000000001,0.027999999999999997,316,222.8,46.99414477,0.009478214,0,43.1026988,0.030951362000000003,-66.66666667,0.202978115,0.6812611209999999,1.214141414,0.004893964000000001,0.009394135999999999,-0.004500173,1,25,0
2021-03-22 01:30:00+00:00,108.863,108.902,108.85799999999999,108.9,0.039,-0.005,0.044000000000000004,392,236.15,56.24325012,0.014636786,0,48.29044784,0.031883407,97.70114942,-0.006919280999999999,0.202978115,1.214141414,0.006205181999999999,0.00916087,-0.0029556879999999997,1,30,0
2021-03-22 01:35:00+00:00,108.9,108.956,108.89,108.95,0.055999999999999994,-0.01,0.066,394,251.4,65.10455346,0.025649643,0,56.85030521,0.034320307,241.3001236,0.260129628,-0.006919280999999999,1.214141414,0.011150378999999998,0.009370073000000001,0.001780305,1,35,0
2021-03-22 01:40:00+00:00,108.95,108.95700000000001,108.93,108.94,0.006999999999999999,-0.02,0.027000000000000003,203,252.65,62.38350066,0.031943928999999996,0,54.5137382,0.033797428,172.8395062,0.682877437,0.260129628,1.214141414,0.01410003,0.009710831999999999,0.004389199,1,40,0
2021-03-22 01:45:00+00:00,108.94,108.94,108.898,108.9,0.0,-0.042,0.042,246,249.6,52.86555773,0.027955357000000004,0,51.78181513,0.034383326,39.18575063,0.8669714829999999,0.682877437,1.214141414,0.013059444,0.009867143,0.003192301,1,45,0
2021-03-22 01:50:00+00:00,108.9,108.902,108.874,108.87799999999999,0.002,-0.026000000000000002,0.027999999999999997,284,254.7,48.48408668,0.019968929,0,54.3373422,0.033927373999999996,-42.68846504,0.6722031270000001,0.8669714829999999,1.214141414,0.010340358000000001,0.009664437,0.000675921,1,50,0
2021-03-22 01:55:00+00:00,108.87799999999999,108.88799999999999,108.866,108.88799999999999,0.01,-0.012,0.022000000000000002,230,256.75,50.49262015,0.016104643000000002,0,54.68105198,0.033075419,-8.614232213,0.321470734,0.6722031270000001,1.214141414,0.008889902,0.009360031999999999,-0.00047013,1,55,0
2021-03-22 02:00:00+00:00,108.88799999999999,108.89,108.866,108.87,0.002,-0.022000000000000002,0.024,99,254.5,46.94464236,0.008870356999999999,0,53.47056383,0.032427173999999996,-73.66482505,-0.014907951000000001,0.321470734,1.214141414,0.006216298,0.00908578,-0.002869482,2,0,0
2021-03-22 02:05:00+00:00,108.87,108.87,108.848,108.85799999999999,0.0,-0.022000000000000002,0.022000000000000002,204,253.7,44.69010328,-0.00012035700000000001,0,48.26942572,0.031682376,-108.6614173,-0.48775617200000004,-0.014907951000000001,1.214141414,0.0030934879999999997,0.008661005,-0.005567516999999999,2,5,0
2021-03-22 02:10:00+00:00,108.85799999999999,108.863,108.818,108.822,0.005,-0.04,0.045,198,254.2,38.68739595,-0.013541071000000002,0,35.02720743,0.032633635,-191.3303438,-0.983878398,-0.48775617200000004,1.214141414,-0.002260206,0.007866096999999999,-0.010126303,2,10,0
2021-03-22 02:15:00+00:00,108.822,108.834,108.806,108.814,0.012,-0.016,0.027999999999999997,186,253.7,37.48253499,-0.025359642999999998,0,33.62455477,0.032302661,-177.9960707,-1.468394617,-0.983878398,1.214141414,-0.007067115,0.006391396999999999,-0.013458513,2,15,0
2021-03-22 02:20:00+00:00,108.814,108.84200000000001,108.81200000000001,108.838,0.027999999999999997,-0.002,0.03,183,258.25,43.19782581,-0.034287143,0,43.13219254,0.032138185,-105.64866540000001,-1.822108365,-1.468394617,1.214141414,-0.008838145,0.00417045,-0.013008596,2,20,0
2021-03-22 02:25:00+00:00,108.838,108.848,108.83200000000001,108.84299999999999,0.01,-0.006,0.016,138,257.8,44.33946224,-0.0420925,0,48.15947056,0.030985457999999997,-87.76978417,-1.8399171669999999,-1.822108365,1.214141414,-0.009726124000000001,0.0015230999999999999,-0.011249223999999999,2,25,0
2021-03-22 02:30:00+00:00,108.84299999999999,108.854,108.83200000000001,108.839,0.011000000000000001,-0.011000000000000001,0.022000000000000002,192,251.55,43.58476589,-0.046904642999999996,0,42.38277862,0.030343639,-87.16177317,-1.606735036,-1.8399171669999999,1.214141414,-0.010630084,-0.00110907,-0.009521014,2,30,0
2021-03-22 02:35:00+00:00,108.839,108.844,108.82700000000001,108.84,0.005,-0.012,0.017,138,246.6,43.84211181,-0.049113570999999995,0,46.751089799999995,0.029390522000000002,-77.17598201,-1.425885092,-1.606735036,1.214141414,-0.011137402,-0.0034954879999999997,-0.0076419140000000005,2,35,0
2021-03-22 02:40:00+00:00,108.84,108.846,108.822,108.822,0.006,-0.018000000000000002,0.024,81,236.9,40.28030146,-0.05419107099999999,0,41.04146101,0.029005485,-107.6400679,-1.3186780329999999,-1.425885092,1.214141414,-0.012843848,-0.0059103490000000005,-0.006933499,2,40,0
2021-03-22 02:45:00+00:00,108.822,108.83,108.786,108.788,0.008,-0.036000000000000004,0.044000000000000004,147,235.55,34.56762122,-0.062885,0,36.52078178,0.030076522,-161.374395,-1.5121770490000002,-1.3186780329999999,1.214141414,-0.01674669,-0.008461792,-0.008284898,2,45,0
