time,open,high,low,close,"open ,highÇÃç∑Ç™0.008 à»è„","open ,lowÇÃç∑Ç™0.008 à»è„","open ,highÇÃç∑Ç™0.006à»è„","open ,lowÇÃç∑Ç™0.006à»è„","open ,highÇÃç∑Ç™0.005à»è„","open ,lowÇÃç∑Ç™0.005à»è„",Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Plot,Plot.1,Oscillator,ATR,CCI,Fisher,Trigger,Plot.2,MACD,Signal Line,Histogram,time(hour),time(minute),time(weekday),y_rate,y_rate_2h,y_rate_4h
2021-03-23 22:00:00+00:00,108.616,108.626,108.603,108.604,1.0,1.0,1.0,1.0,1.0,1.0,108.6145,108.62299999999999,108.60700000000001,126.0,345.15,44.88772804,-0.092257857,0.0,42.860303,0.044209585999999995,-53.41880342,0.266222334,-0.184203736,0.29304314,-0.014792672,-0.015369697,0.000577025,22,0,1,108.61399999999999,108.632,108.56
2021-03-23 22:15:00+00:00,108.604,108.624,108.598,108.61399999999999,1.0,0.0,1.0,1.0,1.0,1.0,108.61258329999998,108.62016670000001,108.60383329999999,103.0,328.95,46.67441706,-0.084960714,0.0,44.16106264,0.042908901,-36.85225837,0.46112214799999995,0.266222334,0.29304314,-0.014099452,-0.016092739,0.0019932870000000003,22,15,1,108.61200000000001,108.54700000000001,108.596
2021-03-23 22:30:00+00:00,108.61399999999999,108.63600000000001,108.604,108.61200000000001,1.0,1.0,1.0,1.0,1.0,1.0,108.61779170000001,108.62333329999998,108.60591670000001,149.0,313.25,46.35076954,-0.077492857,0.0,44.44206877,0.042129694,-35.36576418,0.6896188809999999,0.46112214799999995,0.29304314,-0.013555198000000001,-0.016103563,0.002548365,22,30,1,108.62299999999999,108.50399999999999,108.633
2021-03-23 22:45:00+00:00,108.61200000000001,108.624,108.602,108.62299999999999,1.0,1.0,1.0,1.0,1.0,1.0,108.61779170000001,108.62333329999998,108.60591670000001,163.0,293.45,48.46729591,-0.067210357,0.0,48.7527832,0.040691859,-13.88542446,0.729363425,0.6896188809999999,0.29304314,-0.01209682,-0.015582847,0.003486028,22,45,1,108.632,108.524,108.60700000000001
2021-03-23 23:00:00+00:00,108.62299999999999,108.632,108.599,108.632,1.0,1.0,1.0,1.0,1.0,1.0,108.61779170000001,108.62333329999998,108.6043333,336.0,288.55,50.19845705,-0.052733929000000006,0.0,52.07561177,0.04014244,11.50817686,0.681658202,0.729363425,0.29304314,-0.010098411,-0.01458071,0.004482298,23,0,1,108.54700000000001,108.56,108.585
2021-03-23 23:15:00+00:00,108.632,108.632,108.546,108.54700000000001,0.0,1.0,0.0,1.0,0.0,1.0,108.607875,108.6285,108.60225,404.0,291.7,37.41471272,-0.053626785999999996,0.0,37.32609512,0.04341798,-162.224133,0.215716593,0.681658202,0.29304314,-0.015198251999999999,-0.014116893,-0.0010813589999999998,23,15,1,108.50399999999999,108.596,108.55799999999999
2021-03-23 23:30:00+00:00,108.54700000000001,108.557,108.504,108.50399999999999,1.0,1.0,1.0,1.0,1.0,1.0,108.61125,108.63600000000001,108.559,489.0,303.25,32.856236100000004,-0.059553929000000005,0.0,32.43991787,0.04410241,-238.91767420000002,-0.331835653,0.215716593,0.29304314,-0.022450854,-0.014638528,-0.007812326,23,30,1,108.524,108.633,108.522
2021-03-23 23:45:00+00:00,108.50399999999999,108.54,108.504,108.524,1.0,0.0,1.0,0.0,1.0,0.0,108.61125,108.63600000000001,108.537,597.0,309.65,36.71815101,-0.055823214,0.0,36.29767698,0.043523667,-173.09401100000002,-0.87003053,-0.331835653,0.29304314,-0.026281799999999998,-0.015890843,-0.010390957,23,45,1,108.56,108.60700000000001,108.476
2021-03-24 00:00:00+00:00,108.524,108.574,108.517,108.56,1.0,0.0,1.0,1.0,1.0,1.0,108.52325,108.5975,108.50399999999999,981.0,318.8,43.065991,-0.047453214,0.0,40.44116273,0.044486262,-76.7669532,-1.095078945,-0.87003053,0.29304314,-0.026111951,-0.017187268000000002,-0.008924683000000001,0,0,2,108.596,108.585,108.508
2021-03-24 00:15:00+00:00,108.56,108.617,108.552,108.596,1.0,0.0,1.0,1.0,1.0,1.0,108.61125,108.6305,108.537,583.0,311.8,48.616758000000004,-0.034720714,0.0,45.216074799999994,0.045951529000000005,11.64215686,-0.853341795,-1.095078945,0.29304314,-0.022809511,-0.018078028,-0.004731484,0,15,2,108.633,108.55799999999999,108.52
